"sample_id","Collection.Date","3.Low","PossiblyImpaired"
"40.664,-73.6539","7/26/2017",0.667688888176085,"yes"
"40.6688,-73.4829","9/9/2017",0.800783881074805,"yes"
"40.6914,-73.3575","7/1/2017",0.985302697740852,"yes"
"40.714,-73.3279","9/17/2017",0.915583123839985,"yes"
"40.7158,-73.3287","9/17/2017",0.880762038880015,"yes"
"40.7324,-73.2507","8/4/2017",0.995641932296717,"yes"
"40.7549,-73.7453","7/28/2017",0.901286057963983,"yes"
"40.7566,-73.7461","7/28/2017",0.901286057963983,"yes"
"40.7728,-73.033","9/29/2017",0.901286057963983,"yes"
"40.8498,-73.2237","9/17/2017",0.966463940465294,"yes"
"40.8847,-73.6174","9/2/2017",0.750570838830174,"yes"
"40.9079,-73.8842","08/05/2016",0.961339142251891,"yes"
"40.9079,-73.8896","08/05/2016",0.9553872102732,"yes"
"40.9138,-73.8835","08/05/2016",0.978234726858076,"yes"
"40.9899,-73.8632","09/25/2016",0.755854570442946,"yes"
"41.0188,-73.8457","09/25/2016",0.751011307663544,"yes"
"41.0188,-73.8457","9/30/2017",0.751011307663544,"yes"
"41.0193,-74.0824","7/10/2017",0.515796928759072,"yes"
"41.0292,-73.9257","08/04/2016",0.959128335364199,"yes"
"41.0294,-73.9254","08/28/2014",0.958230865328264,"yes"
"41.0303,-73.9247","08/03/2016",0.942026128377851,"yes"
"41.0519,-73.945","7/11/2017",0.672243578503094,"yes"
"41.059,-73.9928","7/10/2017",0.667688888176085,"yes"
"41.0599,-74.0236","07/22/2015",0.983917888935673,"yes"
"41.0599,-74.0236","08/08/2016",0.983917888935673,"yes"
"41.0622,-73.9458","08/03/2016",0.667688888176085,"yes"
"41.0664,-74.0394","7/26/2017",0.901286057963983,"yes"
"41.0827,-74.0825","08/08/2016",0.515796928759072,"yes"
"41.0828,-74.0825","07/22/2015",0.975447599431375,"yes"
"41.0864,-73.9627","08/04/2016",0.959486535491488,"yes"
"41.118,-74.0438","07/25/2016",0.996315657763692,"yes"
"41.118,-74.0438","07/29/2015",0.996315657763692,"yes"
"41.1182,-73.9446","7/3/2017",0.62215375288672,"yes"
"41.1213,-73.8672","08/23/2012",0.790687457654581,"yes"
"41.1256,-73.4476","8/10/2017",0.927255575515849,"yes"
"41.1324,-73.8187","07/08/2012",0.9907914675606,"yes"
"41.1324,-73.8187","09/15/2012",0.9907914675606,"yes"
"41.1338,-73.9433","7/3/2017",0.997024139752633,"yes"
"41.1456,-73.8606","07/11/2014",0.610269262772342,"yes"
"41.146,-74.1144","07/07/2016",0.667688888176085,"yes"
"41.1467,-73.9979","07/08/2015",0.949273673686869,"yes"
"41.1468,-73.9978","07/16/2016",0.980164601042803,"yes"
"41.1503,-74.0964","07/07/2016",0.7512652143653,"yes"
"41.1578,-73.9668","9/21/2017",0.804245384981194,"yes"
"41.1624,-74.0082","7/17/2017",0.843739080927751,"yes"
"41.1649,-74.0077","7/17/2017",0.827660790420959,"yes"
"41.1734,-74.0002","08/05/2015",0.843739080927751,"yes"
"41.1852,-73.8686","07/09/2014",0.667688888176085,"yes"
"41.1925,-74.0417","07/08/2015",0.926963406307729,"yes"
"41.1962,-74.0389","7/10/2017",0.901286057963983,"yes"
"41.2043,-73.9668","08/05/2015",0.877029933698477,"yes"
"41.2044,-73.9711","07/11/2016",0.901286057963983,"yes"
"41.2077,73.7261","07/20/2016",0.965611472481997,"yes"
"41.294,-74.4358","09/25/2013",0.637142033099518,"yes"
"41.315,-73.9309","09/17/2012",0.715646459361994,"yes"
"41.3254,-73.7397","07/25/2012",0.991829458923657,"yes"
"41.3254,-73.7397","08/07/2012",0.991829458923657,"yes"
"41.4086,-74.373","08/30/2013",0.790041838241316,"yes"
"41.4167,-74.1667","08/03/2016",0.95390507602562,"yes"
"41.4298,-74.4218","09/13/2016",0.969410567667347,"yes"
"41.4724,-73.7873","09/07/2013",0.752952277333677,"yes"
"41.4828,-74.0859","08/04/2016",0.989353046586472,"yes"
"41.4861,-74.0875","08/11/2016",0.986355143485008,"yes"
"41.4864,-74.0826","08/04/2016",0.806296838841049,"yes"
"41.5011,-74.0728","9/18/2017",0.758665903841654,"yes"
"41.5082,-73.5862","07/23/2016",0.918399381310682,"yes"
"41.5083,-73.586","7/15/2017",0.725973631286186,"yes"
"41.5678,-73.9122","07/02/2016",0.834814056038183,"yes"
"41.682,-73.8927","08/09/2016",0.702593936677937,"yes"
"41.7011,-73.8886","09/17/2014",0.994369173074936,"yes"
"41.7071,-73.9239","08/09/2016",0.667688888176085,"yes"
"41.7087,-73.9334","08/09/2016",0.667688888176085,"yes"
"41.7091,-73.9388","09/10/2014",0.667688888176085,"yes"
"41.8677,-73.5019","07/08/2014",0.949273673686869,"yes"
"42.0066,-78.7756","07/12/2014",0.773245541012117,"yes"
"42.0414,-73.6437","09/18/2016",0.525516586067885,"yes"
"42.045,-73.9131","07/02/2012",0.783049812992832,"yes"
"42.0714,-76.7754","07/13/2016",0.949876065442894,"yes"
"42.0814,-76.7798","07/13/2016",0.750447268711359,"yes"
