"sample_id","coll_date","bap","WAVE"
3,"7/26/2007",8.07,"Perlidae"
3,"7/26/2007",8.07,"Baetidae"
3,"7/26/2007",8.07,"Aeshnidae"
3,"7/26/2007",8.07,"Brachycentridae"
3,"7/26/2007",8.07,"Philopotamidae"
3,"7/26/2007",8.07,"Chironomidae"
3,"7/26/2007",8.07,"Psephenidae"
3,"7/26/2007",8.07,"Ephemeridae"
3,"7/26/2007",8.07,"Hydropsychidae"
3,"7/26/2007",8.07,"Isonychiidae"
3,"7/26/2007",8.07,"Perlodidae"
3,"7/26/2007",8.07,"Leuctridae"
3,"7/26/2007",8.07,"Corydalidae"
3,"7/26/2007",8.07,"Elmidae"
3,"7/26/2007",8.07,"Rhyacophilidae"
3,"7/26/2007",8.07,"Ephemerellidae"
3,"7/26/2007",8.07,"Heptageniidae"
3,"7/26/2007",8.07,"Tipulidae"
4,"7/26/2007",5.73,"Perlidae"
4,"7/26/2007",5.73,"Tipulidae"
4,"7/26/2007",5.73,"Philopotamidae"
4,"7/26/2007",5.73,"Psephenidae"
4,"7/26/2007",5.73,"Glossosomatidae"
4,"7/26/2007",5.73,"Hydropsychidae"
4,"7/26/2007",5.73,"Leuctridae"
4,"7/26/2007",5.73,"Chironomidae"
4,"7/26/2007",5.73,"Corydalidae"
4,"7/26/2007",5.73,"Elmidae"
4,"7/26/2007",5.73,"Pteronarcidae"
4,"7/26/2007",5.73,"Rhyacophilidae"
4,"7/26/2007",5.73,"Simuliidae"
4,"7/26/2007",5.73,"OLIGOCHAETA"
7,"7/26/2007",6.96,"Perlidae"
7,"7/26/2007",6.96,"Hydropsychidae"
7,"7/26/2007",6.96,"Philopotamidae"
7,"7/26/2007",6.96,"Chironomidae"
7,"7/26/2007",6.96,"Tipulidae"
7,"7/26/2007",6.96,"Isonychiidae"
7,"7/26/2007",6.96,"Leuctridae"
7,"7/26/2007",6.96,"Elmidae"
7,"7/26/2007",6.96,"Psephenidae"
7,"7/26/2007",6.96,"Rhyacophilidae"
7,"7/26/2007",6.96,"Ephemerellidae"
13,"8/1/2007",8.29,"Brachycentridae"
13,"8/1/2007",8.29,"Hydropsychidae"
13,"8/1/2007",8.29,"Philopotamidae"
13,"8/1/2007",8.29,"Corydalidae"
13,"8/1/2007",8.29,"Chironomidae"
13,"8/1/2007",8.29,"Empididae"
13,"8/1/2007",8.29,"Hydroptilidae"
13,"8/1/2007",8.29,"Isonychiidae"
13,"8/1/2007",8.29,"Heptageniidae"
13,"8/1/2007",8.29,"Baetidae"
13,"8/1/2007",8.29,"Ephemerellidae"
13,"8/1/2007",8.29,"Simuliidae"
13,"8/1/2007",8.29,"Pelecypoda"
13,"8/1/2007",8.29,"Elmidae"
19,"9/13/2007",8.08,"Tipulidae"
19,"9/13/2007",8.08,"Athericidae"
19,"9/13/2007",8.08,"Caenidae"
19,"9/13/2007",8.08,"Hydropsychidae"
19,"9/13/2007",8.08,"Philopotamidae"
19,"9/13/2007",8.08,"Chironomidae"
19,"9/13/2007",8.08,"Amphipoda"
19,"9/13/2007",8.08,"Helicopsychidae"
19,"9/13/2007",8.08,"Isonychiidae"
19,"9/13/2007",8.08,"Brachycentridae"
19,"9/13/2007",8.08,"Corydalidae"
19,"9/13/2007",8.08,"Leptoceridae"
19,"9/13/2007",8.08,"Elmidae"
19,"9/13/2007",8.08,"Psephenidae"
19,"9/13/2007",8.08,"Heptageniidae"
19,"9/13/2007",8.08,"Gomphidae"
23,"8/1/2007",7.89,"Baetidae"
23,"8/1/2007",7.89,"Caenidae"
23,"8/1/2007",7.89,"Hydropsychidae"
23,"8/1/2007",7.89,"Philopotamidae"
23,"8/1/2007",7.89,"Gyrinidae"
23,"8/1/2007",7.89,"Helicopsychidae"
23,"8/1/2007",7.89,"Empididae"
23,"8/1/2007",7.89,"Hydroptilidae"
23,"8/1/2007",7.89,"Isonychiidae"
23,"8/1/2007",7.89,"Chironomidae"
23,"8/1/2007",7.89,"Leptoceridae"
23,"8/1/2007",7.89,"Elmidae"
23,"8/1/2007",7.89,"Perlidae"
23,"8/1/2007",7.89,"Physidae"
23,"8/1/2007",7.89,"Ephemerellidae"
23,"8/1/2007",7.89,"Simuliidae"
23,"8/1/2007",7.89,"Pelecypoda"
23,"8/1/2007",7.89,"Heptageniidae"
24,"7/31/2007",7.06,"Baetidae"
24,"7/31/2007",7.06,"Perlidae"
24,"7/31/2007",7.06,"Hydropsychidae"
24,"7/31/2007",7.06,"Philopotamidae"
24,"7/31/2007",7.06,"Chironomidae"
24,"7/31/2007",7.06,"Tipulidae"
24,"7/31/2007",7.06,"Corydalidae"
24,"7/31/2007",7.06,"Elmidae"
24,"7/31/2007",7.06,"Psephenidae"
24,"7/31/2007",7.06,"Sialidae"
24,"7/31/2007",7.06,"Heptageniidae"
24,"7/31/2007",7.06,"Cambaridae"
24,"7/31/2007",7.06,"Gomphidae"
24,"7/31/2007",7.06,"OLIGOCHAETA"
24,"7/31/2007",7.06,"Psychomyiidae"
27,"7/31/2007",6.8,"Perlidae"
27,"7/31/2007",6.8,"Athericidae"
27,"7/31/2007",6.8,"Chironomidae"
27,"7/31/2007",6.8,"Hydropsychidae"
27,"7/31/2007",6.8,"Philopotamidae"
27,"7/31/2007",6.8,"Isonychiidae"
27,"7/31/2007",6.8,"Heptageniidae"
27,"7/31/2007",6.8,"Elmidae"
27,"7/31/2007",6.8,"Psephenidae"
27,"7/31/2007",6.8,"Ephemerellidae"
27,"7/31/2007",6.8,"Gomphidae"
27,"7/31/2007",6.8,"OLIGOCHAETA"
28,"8/2/2007",7.55,"Perlidae"
28,"8/2/2007",7.55,"Potamanthidae"
28,"8/2/2007",7.55,"Athericidae"
28,"8/2/2007",7.55,"Baetidae"
28,"8/2/2007",7.55,"Caenidae"
28,"8/2/2007",7.55,"Hydropsychidae"
28,"8/2/2007",7.55,"Philopotamidae"
28,"8/2/2007",7.55,"Hydroptilidae"
28,"8/2/2007",7.55,"Heptageniidae"
28,"8/2/2007",7.55,"Elmidae"
28,"8/2/2007",7.55,"Chironomidae"
28,"8/2/2007",7.55,"Pelecypoda"
28,"8/2/2007",7.55,"Ephemerellidae"
30,"9/11/2007",6.69,"Perlidae"
30,"9/11/2007",6.69,"Elmidae"
30,"9/11/2007",6.69,"Athericidae"
30,"9/11/2007",6.69,"Chironomidae"
30,"9/11/2007",6.69,"Calopterygidae"
30,"9/11/2007",6.69,"Hydropsychidae"
30,"9/11/2007",6.69,"Philopotamidae"
30,"9/11/2007",6.69,"Isonychiidae"
30,"9/11/2007",6.69,"Corydalidae"
30,"9/11/2007",6.69,"Psephenidae"
30,"9/11/2007",6.69,"Heptageniidae"
30,"9/11/2007",6.69,"Baetidae"
30,"9/11/2007",6.69,"Leptoceridae"
30,"9/11/2007",6.69,"OLIGOCHAETA"
36,"7/31/2007",6.88,"Perlidae"
36,"7/31/2007",6.88,"Baetidae"
36,"7/31/2007",6.88,"Hydropsychidae"
36,"7/31/2007",6.88,"Philopotamidae"
36,"7/31/2007",6.88,"Chironomidae"
36,"7/31/2007",6.88,"Tipulidae"
36,"7/31/2007",6.88,"Empididae"
36,"7/31/2007",6.88,"Isonychiidae"
36,"7/31/2007",6.88,"Heptageniidae"
36,"7/31/2007",6.88,"Elmidae"
36,"7/31/2007",6.88,"Psephenidae"
36,"7/31/2007",6.88,"OLIGOCHAETA"
42,"9/12/2007",5.91,"Baetidae"
42,"9/12/2007",5.91,"Perlidae"
42,"9/12/2007",5.91,"Cambaridae"
42,"9/12/2007",5.91,"Hydropsychidae"
42,"9/12/2007",5.91,"Philopotamidae"
42,"9/12/2007",5.91,"Amphipoda"
42,"9/12/2007",5.91,"Isonychiidae"
42,"9/12/2007",5.91,"Elmidae"
42,"9/12/2007",5.91,"Chironomidae"
42,"9/12/2007",5.91,"Psephenidae"
42,"9/12/2007",5.91,"Rhyacophilidae"
42,"9/12/2007",5.91,"Simuliidae"
42,"9/12/2007",5.91,"Tipulidae"
48,"8/1/2007",7.98,"Baetidae"
48,"8/1/2007",7.98,"Perlidae"
48,"8/1/2007",7.98,"Caenidae"
48,"8/1/2007",7.98,"Chironomidae"
48,"8/1/2007",7.98,"Hydropsychidae"
48,"8/1/2007",7.98,"Philopotamidae"
48,"8/1/2007",7.98,"Polymitarcyidae"
48,"8/1/2007",7.98,"Heptageniidae"
48,"8/1/2007",7.98,"Elmidae"
48,"8/1/2007",7.98,"Ephemerellidae"
48,"8/1/2007",7.98,"Sialidae"
48,"8/1/2007",7.98,"Pelecypoda"
48,"8/1/2007",7.98,"OLIGOCHAETA"
49,"9/13/2007",7.64,"Baetidae"
49,"9/13/2007",7.64,"Brachycentridae"
49,"9/13/2007",7.64,"Chironomidae"
49,"9/13/2007",7.64,"Hydropsychidae"
49,"9/13/2007",7.64,"Philopotamidae"
49,"9/13/2007",7.64,"Amphipoda"
49,"9/13/2007",7.64,"Empididae"
49,"9/13/2007",7.64,"Isonychiidae"
49,"9/13/2007",7.64,"Heptageniidae"
49,"9/13/2007",7.64,"Elmidae"
49,"9/13/2007",7.64,"Psephenidae"
49,"9/13/2007",7.64,"Simuliidae"
49,"9/13/2007",7.64,"Ephemerellidae"
49,"9/13/2007",7.64,"Perlidae"
49,"9/13/2007",7.64,"Turbellaria"
62,"8/1/2007",8.48,"Baetidae"
62,"8/1/2007",8.48,"Perlidae"
62,"8/1/2007",8.48,"Tipulidae"
62,"8/1/2007",8.48,"Aeshnidae"
62,"8/1/2007",8.48,"Chironomidae"
62,"8/1/2007",8.48,"Haliplidae"
62,"8/1/2007",8.48,"Empididae"
62,"8/1/2007",8.48,"Hydropsychidae"
62,"8/1/2007",8.48,"Isonychiidae"
62,"8/1/2007",8.48,"Leuctridae"
62,"8/1/2007",8.48,"Polycentropodidae"
62,"8/1/2007",8.48,"Elmidae"
62,"8/1/2007",8.48,"Leptophlebiidae"
62,"8/1/2007",8.48,"Physidae"
62,"8/1/2007",8.48,"Psephenidae"
62,"8/1/2007",8.48,"Ephemerellidae"
62,"8/1/2007",8.48,"Lymnaeidae"
62,"8/1/2007",8.48,"Philopotamidae"
62,"8/1/2007",8.48,"Turbellaria"
64,"8/2/2007",7.93,"Baetidae"
64,"8/2/2007",7.93,"Tipulidae"
64,"8/2/2007",7.93,"Caenidae"
64,"8/2/2007",7.93,"Philopotamidae"
64,"8/2/2007",7.93,"Chironomidae"
64,"8/2/2007",7.93,"Empididae"
64,"8/2/2007",7.93,"Hydropsychidae"
64,"8/2/2007",7.93,"Hydroptilidae"
64,"8/2/2007",7.93,"Elmidae"
64,"8/2/2007",7.93,"Physidae"
64,"8/2/2007",7.93,"Psephenidae"
64,"8/2/2007",7.93,"Heptageniidae"
64,"8/2/2007",7.93,"Leptohyphidae"
64,"8/2/2007",7.93,"Gomphidae"
70,"8/1/2007",7.38,"Chironomidae"
70,"8/1/2007",7.38,"Baetidae"
70,"8/1/2007",7.38,"Caenidae"
70,"8/1/2007",7.38,"Empididae"
70,"8/1/2007",7.38,"Tipulidae"
70,"8/1/2007",7.38,"Hydropsychidae"
70,"8/1/2007",7.38,"Hydroptilidae"
70,"8/1/2007",7.38,"Isonychiidae"
70,"8/1/2007",7.38,"Heptageniidae"
70,"8/1/2007",7.38,"Polycentropodidae"
70,"8/1/2007",7.38,"Leptoceridae"
70,"8/1/2007",7.38,"Elmidae"
73,"8/1/2007",6.74,"Perlidae"
73,"8/1/2007",6.74,"Tipulidae"
73,"8/1/2007",6.74,"Baetidae"
73,"8/1/2007",6.74,"Hydropsychidae"
73,"8/1/2007",6.74,"Chironomidae"
73,"8/1/2007",6.74,"Philopotamidae"
73,"8/1/2007",6.74,"Empididae"
73,"8/1/2007",6.74,"Isonychiidae"
73,"8/1/2007",6.74,"Elmidae"
73,"8/1/2007",6.74,"Leptophlebiidae"
73,"8/1/2007",6.74,"Heptageniidae"
78,"9/5/2007",7.3,"Perlidae"
78,"9/5/2007",7.3,"Athericidae"
78,"9/5/2007",7.3,"Baetidae"
78,"9/5/2007",7.3,"Hydropsychidae"
78,"9/5/2007",7.3,"Philopotamidae"
78,"9/5/2007",7.3,"Heptageniidae"
78,"9/5/2007",7.3,"Chironomidae"
78,"9/5/2007",7.3,"Corydalidae"
78,"9/5/2007",7.3,"Elmidae"
81,"8/1/2007",9.12,"Perlidae"
81,"8/1/2007",9.12,"Hydroptilidae"
81,"8/1/2007",9.12,"Tipulidae"
81,"8/1/2007",9.12,"Coenagrionidae"
81,"8/1/2007",9.12,"Athericidae"
81,"8/1/2007",9.12,"Caenidae"
81,"8/1/2007",9.12,"Hydropsychidae"
81,"8/1/2007",9.12,"Philopotamidae"
81,"8/1/2007",9.12,"Helicopsychidae"
81,"8/1/2007",9.12,"Empididae"
81,"8/1/2007",9.12,"Isonychiidae"
81,"8/1/2007",9.12,"Heptageniidae"
81,"8/1/2007",9.12,"Chironomidae"
81,"8/1/2007",9.12,"Psephenidae"
81,"8/1/2007",9.12,"Ephemerellidae"
81,"8/1/2007",9.12,"Elmidae"
81,"8/1/2007",9.12,"Turbellaria"
82,"7/31/2007",8.22,"Baetidae"
82,"7/31/2007",8.22,"Tipulidae"
82,"7/31/2007",8.22,"Hydrophilidae"
82,"7/31/2007",8.22,"Hydropsychidae"
82,"7/31/2007",8.22,"Philopotamidae"
82,"7/31/2007",8.22,"Chironomidae"
82,"7/31/2007",8.22,"Glossosomatidae"
82,"7/31/2007",8.22,"Calopterygidae"
82,"7/31/2007",8.22,"Hydroptilidae"
82,"7/31/2007",8.22,"Isonychiidae"
82,"7/31/2007",8.22,"Dytiscidae"
82,"7/31/2007",8.22,"Leuctridae"
