"WAVE","PfamH","Pfam","PFamL"
"Pbap",0.615248226950355,0.381205673758865,0.00354609929078014
"Aeshnidae",0.037463976945245,0,0
"Amphipoda",0.0634005763688761,0.134883720930233,0
"Ancylidae",0.0835734870317003,0.0790697674418605,0
"Asellidae",0.0201729106628242,0.0465116279069767,0
"Athericidae",0.322766570605187,0.32093023255814,0
"Baetidae",0.936599423631124,0.8,0.5
"Baetiscidae",0.0172910662824208,0.00465116279069767,0
"Bithyniidae",0,0.013953488372093,0
"Brachycentridae",0.253602305475504,0.111627906976744,0
"Caenidae",0.305475504322767,0.241860465116279,0
"Calopterygidae",0.0172910662824208,0.0372093023255814,0
"Cambaridae",0.0547550432276657,0.0883720930232558,0
"Capniidae",0.0403458213256484,0.0465116279069767,0
"Chironomidae",0.994236311239193,0.972093023255814,1
"Chironomus",0.00288184438040346,0,0
"Chloroperlidae",0.0951008645533141,0.027906976744186,0
"Coenagrionidae",0.037463976945245,0.0418604651162791,0
"Cordulegastridae",0.0115273775216138,0.0186046511627907,0
"Corydalidae",0.377521613832853,0.348837209302326,0.5
"Curculionidae",0.00288184438040346,0,0
"Dixidae",0.00576368876080692,0,0
"Dryopidae",0.00288184438040346,0.00465116279069767,0
"Dytiscidae",0.00576368876080692,0.00465116279069767,0
"Elmidae",0.936599423631124,0.888372093023256,1
"Empididae",0.363112391930836,0.274418604651163,0
"Ephemerellidae",0.610951008645533,0.32093023255814,0.5
"Ephemeridae",0.0432276657060519,0.0325581395348837,0
"Glossosomatidae",0.201729106628242,0.0697674418604651,0
"Goeridae",0.0172910662824208,0.00930232558139535,0
"Gomphidae",0.24207492795389,0.148837209302326,0
"Gyrinidae",0.0201729106628242,0.0186046511627907,0
"Haliplidae",0.00288184438040346,0,0
"Helicopsychidae",0.0806916426512968,0.116279069767442,0
"Heptageniidae",0.913544668587896,0.809302325581395,0
"Hirudinea",0.0201729106628242,0.0186046511627907,0
"Hydrophilidae",0.0201729106628242,0.0186046511627907,0.5
"Hydropsychidae",0.979827089337176,0.93953488372093,1
"Hydroptilidae",0.172910662824208,0.186046511627907,0.5
"Isonychiidae",0.671469740634006,0.446511627906977,0
"Lepidostomatidae",0.106628242074928,0.0558139534883721,0
"Leptoceridae",0.0806916426512968,0.0558139534883721,0
"Leptohyphidae",0.14985590778098,0.134883720930233,0.5
"Leptophlebiidae",0.236311239193084,0.176744186046512,0
"Leuctridae",0.178674351585014,0.134883720930233,0
"Limnephilidae",0.0720461095100865,0.0232558139534884,0
"Lymnaeidae",0.0115273775216138,0.00930232558139535,0
"Nemouridae",0.0230547550432277,0.027906976744186,0
"Odontoceridae",0.0979827089337176,0.0372093023255814,0
"OLIGOCHAETA",0.371757925072046,0.386046511627907,0.5
"OSTRACODA",0.00576368876080692,0.00465116279069767,0
"Pelecypoda",0.167146974063401,0.232558139534884,0
"Peltoperlidae",0.0518731988472622,0.0465116279069767,0
"Perlidae",0.760806916426513,0.562790697674419,1
"Perlodidae",0.0576368876080692,0.0186046511627907,0
"Philopotamidae",0.812680115273775,0.706976744186047,0.5
"Phryganeidae",0,0.013953488372093,0
"Physidae",0.0172910662824208,0.0511627906976744,0.5
"Polycentropodidae",0.109510086455331,0.162790697674419,0
"Polymitarcyidae",0.0489913544668588,0.0186046511627907,0
"Potamanthidae",0.0288184438040346,0.013953488372093,0
"Psephenidae",0.602305475504323,0.581395348837209,0.5
"Psychomyiidae",0.0951008645533141,0.0604651162790698,0
"Pteronarcidae",0.0922190201729107,0.027906976744186,0
"Ptilodactylidae",0.0115273775216138,0.00930232558139535,0
"Rhyacophilidae",0.334293948126801,0.232558139534884,0.5
"Sialidae",0.0432276657060519,0.0465116279069767,0
"Simuliidae",0.386167146974063,0.358139534883721,0.5
"Tabanidae",0.0288184438040346,0.027906976744186,0.5
"Tipulidae",0.662824207492795,0.553488372093023,0
"Turbellaria",0.164265129682997,0.251162790697674,0.5
"Uenoidae",0.031700288184438,0.0186046511627907,0.5
"Valvatidae",0.00288184438040346,0,0
