"SiteID","Date","bap","Families"
"41.14162_-74.16201","2012-08-01",6.3,"Aeshnidae,Chironomidae,Corydalidae,Elmidae,Gomphidae,Hydropsychidae,Leptophlebiidae,Leuctridae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Tipulidae"
"41.23038_-74.23191","2012-09-13",7.14,"Aeshnidae,Chironomidae,Chloroperlidae,Cordulegastridae,Corydalidae,Elmidae,Goeridae,Gomphidae,Heptageniidae,Hydropsychidae,Leuctridae,Odontoceridae,OLIGOCHAETA,Perlidae,Psephenidae,Psychomyiidae,Ptilodactylidae,Rhyacophilidae,Tabanidae,Tipulidae"
"41.236_-74.19875","2007-09-12",5.77,"Aeshnidae,Amphipoda,Asellidae,Baetidae,Cambaridae,Chironomidae,Corydalidae,Hydropsychidae,Perlidae,Philopotamidae,Psychomyiidae"
"41.24611_-73.66917","2005-07-06",6.43,"Chironomidae,Corydalidae,Elmidae,Gomphidae,Hydropsychidae,Isonychiidae,Leuctridae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Simuliidae"
"41.25583_-73.59879","2011-07-19",6.93,"Baetidae,Chironomidae,Chloroperlidae,Cordulegastridae,Corydalidae,Elmidae,Glossosomatidae,Gomphidae,Hydropsychidae,Lepidostomatidae,Leuctridae,Peltoperlidae,Perlidae,Philopotamidae,Rhyacophilidae,Tipulidae"
"41.28611_-73.765","2008-08-20",5.59,"Aeshnidae,Asellidae,Chironomidae,Elmidae,Empididae,Hirudinea,Hydropsychidae,OLIGOCHAETA,Philopotamidae,Psephenidae,Tipulidae"
"41.3225_-73.71361","2005-07-07",6.65,"Baetidae,Chironomidae,Corydalidae,Elmidae,Empididae,Glossosomatidae,Hydropsychidae,Leuctridae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Tipulidae,Turbellaria"
"41.33306_-73.76472","2008-08-20",6.51,"Baetidae,Cambaridae,Chironomidae,Corydalidae,Elmidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,Perlidae,Philopotamidae,Psephenidae"
"41.3348_-73.5581","2000-07-12",7.36,"Baetidae,Chironomidae,Elmidae,Empididae,Ephemerellidae,Glossosomatidae,Hydrophilidae,Hydropsychidae,Leuctridae,Limnephilidae,OLIGOCHAETA,Philopotamidae,Psephenidae,Simuliidae,Tabanidae,Tipulidae"
"41.36_-74.10806","2004-07-29",7.16,"Baetidae,Chironomidae,Corydalidae,Elmidae,Glossosomatidae,Gomphidae,Hydropsychidae,Leptoceridae,Leuctridae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Tipulidae"
