"Pair","PfamH","Pfam","PFamL"
"Amphipoda_Asellidae",0.00739957716701903,0.0848142164781906,0.35
"Amphipoda_Athericidae",0.0116279069767442,0.0339256865912763,0.015
"Amphipoda_Baetiscidae",0,0.000807754442649435,0
"Amphipoda_Brachycentridae",0.0200845665961945,0.00807754442649435,0
"Amphipoda_Caenidae",0.0211416490486258,0.037156704361874,0.0275
"Amphipoda_Calopterygidae",0.00211416490486258,0.0121163166397415,0.0225
"Amphipoda_Capniidae",0,0.00161550888529887,0
"Amphipoda_Chironomus",0,0.0145395799676898,0.0525
"Amphipoda_Chloroperlidae",0.00105708245243129,0.00161550888529887,0.0025
"Amphipoda_Coenagrionidae",0.00634249471458774,0.0250403877221325,0.075
"Amphipoda_Cordulegastridae",0,0.000807754442649435,0.005
"Amphipoda_Corixidae",0,0.00323101777059774,0.02
"Amphipoda_Corydalidae",0.0243128964059197,0.055735056542811,0.0325
"Amphipoda_Ephemerellidae",0.0285412262156448,0.0258481421647819,0.005
"Amphipoda_Ephemeridae",0.00317124735729387,0.00403877221324717,0
"Amphipoda_Glossosomatidae",0.00739957716701903,0.00807754442649435,0.0025
"Amphipoda_Gomphidae",0.0116279069767442,0.012924071082391,0.01
"Amphipoda_Haliplidae",0,0.00323101777059774,0.0175
"Amphipoda_Helicopsychidae",0.00634249471458774,0.00969305331179321,0.0075
"Amphipoda_Heptageniidae",0.0443974630021142,0.110662358642973,0.0775
"Amphipoda_Hirudinea",0.00105708245243129,0.0201938610662359,0.16
"Amphipoda_Hydroptilidae",0.0147991543340381,0.055735056542811,0.0525
"Amphipoda_Isonychiidae",0.0369978858350951,0.0436187399030695,0.005
"Amphipoda_Lepidostomatidae",0.00845665961945032,0.00403877221324717,0
"Amphipoda_Leptohyphidae",0.0200845665961945,0.0323101777059774,0.0125
"Amphipoda_Leptophlebiidae",0.00528541226215645,0.0137318255250404,0.005
"Amphipoda_Leuctridae",0.00951374207188161,0.0145395799676898,0.01
"Amphipoda_Lymnaeidae",0.00105708245243129,0.0113085621970921,0.0175
"Amphipoda_Nemouridae",0,0.000807754442649435,0
"Amphipoda_Odontoceridae",0.00211416490486258,0.00161550888529887,0
"Amphipoda_Pelecypoda",0.00528541226215645,0.0484652665589661,0.145
"Amphipoda_Peltoperlidae",0.00105708245243129,0,0
"Amphipoda_Perlidae",0.0412262156448203,0.0541195476575121,0.0225
"Amphipoda_Perlodidae",0.00317124735729387,0.0024232633279483,0
