"sample_id","bap","probability"
2,5.4,0.472224675237345
3,8.07,0.00486632424478462
4,5.73,0.0152173210427354
7,6.96,0.0580415951243432
10,4.51,0.406385179188425
13,8.29,0.0842563632603237
19,8.08,0.0778078701829176
23,7.89,0.13653995644469
24,7.06,0.232027182925406
25,3.4,0
27,6.8,0.05851354365335
28,7.55,0.0921048966321071
30,6.69,0.233007973114709
32,4.39,0.42305410130044
33,3.05,0.590179183492713
34,5.81,0.302473206032738
36,6.88,0.247143562834436
38,5.47,0.382097575592167
39,4.03,0.453425345651276
42,5.91,0.219464115224213
44,6.43,0.62326338425434
47,3.95,0.406625401876873
48,7.98,0.063935758622177
49,7.64,0.0794849294120295
53,5.75,0.289684605103858
62,8.48,0
64,7.93,0.206801623145141
70,7.38,0.362728102307135
73,6.74,0.174660445867579
78,7.3,0.285759141474554
80,5.11,0.462689392855732
81,9.12,0.0821646054595555
82,8.22,0.0639992195944457
89,7.25,0.179858153123433
90,4.56,0.505076142131979
106,8.02,0.283427227917858
109,7.14,0.100785266245944
121,7.91,0.0201463562636746
122,7.45,0.1533635795829
125,4.72,0.407002351369982
126,3.85,0.422846853971564
127,6.25,0.336841725574911
128,5.82,0.394677981025403
134,5.62,0.431438944358299
135,5.94,0.357677946370131
136,6.54,0.53091172963638
138,6.9,0.0596787053442288
139,6.85,0.184708408032968
141,7.6,0.143905471873432
250,4.19,0.33832420139125
252,7.12,0.291873573429215
253,5.93,0.16783128222394
260,6.45,0.549562239238029
261,6.77,0.16544915856512
262,7.28,0.18160749768955
266,7.24,0.27206508560513
270,6.65,0.264672996833292
273,6.75,0.275295123398886
274,8.17,0.0306255887468604
277,5.77,0.364158419048955
280,8.33,0.0266620352864774
282,5.1,0.434130651773487
287,7.78,0.0974362526040432
293,7.41,0.113975619543985
314,7.7,0.0212381580461556
319,6.8,0.159577137488508
323,7.49,0.0113067745702172
335,5.3,0.0523613336325944
338,6.46,0.0521700275753604
341,7.79,0.09182611200174
346,7.03,0.368225976526093
351,3.33,0.336395516202904
353,5.97,0.46974815410904
355,6.34,0.369678305567708
359,8.14,0.143479506100822
362,5.87,0.406385179188425
363,7.68,0.253106363723155
365,9.31,0.00362834759088428
366,6.62,0.36851846055647
368,8.68,0.0178117793305239
369,7.56,0.137696303885232
378,6.46,0.491602254874855
379,3.39,0.519315623714567
380,3.7,0.643894857369885
383,6.99,0.264496496912176
384,7.28,0.363947807454535
385,6.33,0.288825498697474
387,7.26,0.249597507942675
388,6.98,0.0225706515554354
391,5.18,0.342638998267025
393,7.1,0.277901798563497
397,8.47,0.00661794603614779
402,6.01,0.657917499603623
404,7.09,0.0394538812397211
407,3.71,0.314802431991191
411,4.94,0.49635974615768
412,7.93,0.0811654621972724
416,8.66,0.0322191738721981
419,6.44,0.276504570409149
422,6.34,0.430145518657932
425,5.32,0.537016143625109
427,8.01,0.00655822308217152
428,8.09,0.0858787466321684
429,6.52,0.480783910384561
434,8.32,0.142449052192202
438,4.45,0.441016658732715
441,7.72,0.270870787469678
442,8.74,0.00483193814010932
444,2.93,0
445,4.24,0.432042708283518
446,8.05,0.0148364704342349
447,2.95,0.536189579050103
448,5.31,0.520325203252032
452,7.21,0.00699401639173795
455,7.82,0.2704635565067
458,7.82,0.0665441721329996
459,6.04,0.250335682337718
460,8.6,0.137482443413921
470,7.89,0.481387043155267
474,7.93,0.0884996721230339
475,8.35,0.0395617473529954
477,8.1,0.0137910223065285
483,8.35,0.0134773689743303
489,5.44,0.298223247338611
490,8.98,0.0137277452455857
493,7.7,0.195064355767163
496,6,0.0532045424328193
500,9.27,0.0699544677359643
504,7.42,0.252296666410526
550,7.25,0.356145745716583
551,6.92,0.406540493074993
552,6.52,0.565639897333376
553,8.54,0.0129905168635807
555,7.87,0.00936912174377581
558,6.41,0.205216079359945
560,6.94,0.323920211235118
561,4.19,0.468856216002516
562,8.73,0.15496081065072
563,7.73,0.344219192374332
568,6.05,0.505534554442859
576,5.09,0.466898954703833
584,8.34,0.0804856136155344
586,8.3,0.0322774789800805
595,6.21,0.407579387493836
597,5.54,0.61330334683531
598,6.88,0.248077684157952
600,6.71,0.124954274752496
603,7.84,0.0719061849325363
608,4.49,0.590064904612345
609,7.31,0.0458446089996813
610,5.89,0.237267101281777
611,5.98,0.436863092100369
612,5.2,0.376073470653983
616,5.07,0.436040425742078
617,5.98,0.366246495988603
618,7.7,0.0694036174008241
620,7.32,0.0558779693651287
626,5.48,0.486341427111546
628,4.19,0.452668238750318
629,5.53,0.311688129583695
631,6.04,0.559677571996309
634,6,0.227077312918847
638,6.92,0.412520214698377
639,3.38,0.347035595564597
647,5.15,0.466941644057453
651,6.44,0.504937854165694
653,6.71,0.573170312728197
654,5.42,0.491602254874855
657,6.33,0.26179588635044
666,4.63,0.532655466835907
667,5.87,0.507860222915867
669,8.82,0.517843195182103
671,5.52,0.395681575200604
679,8.82,0.0753098160497151
681,5.32,0.419200065475534
683,5.23,0.520206593489064
692,0.98,0.220386201867118
693,8.17,0.111352107894717
694,6.43,0.0608423502083804
704,6.15,0.623177026359641
707,5.87,0.600874421397282
714,6.72,0.471804732186812
715,6.46,0.342286083184242
716,5.46,0.386846627358464
717,8.24,0.0937036197561061
719,5.1,0.511836164609301
723,4.5,0.497915155402499
724,4.81,0.477858193707236
741,8.19,0.163680478934258
743,6.74,0.130878075679256
801,4.3,0.299635101761203
811,6.99,0.196095326789099
812,2.55,0.549926831330205
813,7.93,0.0859281026959641
815,7.62,0.0573259519684796
817,7.08,0.146825159520364
818,8.32,0.00413081676696334
819,3.99,0.144729188888416
822,5.6,0.327657219310807
823,6.87,0.0814141035397514
827,6.03,0.351206853956687
828,8.14,0.00247811176186893
830,7.74,0.0289066228684314
831,7.8,0.0185016730046121
834,7.36,0.25741071466795
835,6.73,0.31013608685063
836,8.04,0.00203249451961542
838,7.51,0.0343503086733538
840,8.09,0.00596336324899361
841,5.51,0.206157538356762
842,6.4,0.149727178905101
844,4.81,0.286974029324014
846,6.54,0.100772997143347
848,8.75,0.0414401460980265
850,8.03,0.015594020015372
851,6.33,0.288717449296683
853,5.75,0.232569252049583
865,5.57,0.397762180535464
866,5.18,0.520207281070637
869,7.41,0.133766988703548
871,8.57,0.0952782624735101
872,7.81,0.132938667484615
874,8.13,0.0838537381784082
875,8.53,0.0100444898802636
883,8.7,0.00732640714962374
887,9.53,0.000271007234858965
891,9.88,0.000405315434714845
893,9.62,0.000346200036368293
896,5.22,0.27630552462512
900,9.24,0.0355630915111609
901,7.98,0.0143602163948068
902,9.21,0.0278562053129272
903,8.82,0.0189412511273746
905,9.26,0.0691100357205477
920,7.37,0.0510427995148051
930,6.63,0.294406611216042
931,5.95,0.197636075055947
935,8.02,0.0158538462890611
936,9.21,0.00539454104638889
940,8.64,0.0814522747757874
941,7.24,0.23811559839858
942,9.11,0.0548157796542988
944,8.82,0.120724098385903
954,7.38,0.26677279555303
957,8.27,0.187717375500479
964,7.99,0.0269014529660155
971,9.12,0.000335235780077499
973,7.73,0.184267887352109
974,8.08,0.0142037897878981
975,7.54,0.036081917208744
977,7.13,0.296695200065661
982,8.1,0.0662885729385631
984,8,0.0135093598735921
994,7.2,0.294176470492081
1002,8,0.000551571540986241
1006,7.73,0.214946930417178
1010,6.8,0.422955346928755
1012,5.55,0.455735846090998
1015,7.28,0.0151800435172299
1020,7.78,0.0432070952667928
1024,7.4,0.459276684154291
1028,8.52,0.0979833246496004
1038,5.47,0.473215158247812
1042,6.16,0.549888400471553
1045,8.51,0.0167601897871863
1058,6.16,0.441138286548058
