"sample_id","bap","probability"
2,5.4,0.0386288094189259
3,8.07,0
4,5.73,0
7,6.96,2.98382053103617e-08
10,4.51,0.0134238088213601
13,8.29,0
19,8.08,0
23,7.89,0
24,7.06,9.61922628592382e-06
25,3.4,0.99779856671081
27,6.8,8.50914922080483e-09
28,7.55,0
30,6.69,3.42605104164125e-07
32,4.39,0.0147394824288679
33,3.05,0.489024501320703
34,5.81,0.00549037572400023
36,6.88,2.18025206771082e-06
38,5.47,0.00233168624380398
39,4.03,0.0294305450745922
42,5.91,6.18622397811441e-06
44,6.43,0.192389135248655
47,3.95,0.00635298224293625
48,7.98,0
49,7.64,0
53,5.75,0
62,8.48,6.41615509570286e-07
64,7.93,7.53675301971922e-05
70,7.38,3.85371922257286e-06
73,6.74,6.58570390036436e-07
78,7.3,3.59947990891757e-05
80,5.11,0.0066645927207415
81,9.12,0
82,8.22,0
89,7.25,2.40112593717769e-06
90,4.56,0.134517766497462
106,8.02,3.56198666208505e-05
109,7.14,0
121,7.91,0
122,7.45,3.62545194837496e-08
125,4.72,0.0169356193730337
126,3.85,0.00879777801667712
127,6.25,0.00825487635310863
128,5.82,0.000549352699072984
134,5.62,0.000296562959353771
135,5.94,6.61501751045962e-05
136,6.54,0
138,6.9,0
139,6.85,3.78054631921216e-05
141,7.6,0
250,4.19,0.0282592355516642
252,7.12,3.05996415269026e-06
253,5.93,5.03886047313549e-06
260,6.45,0
261,6.77,1.01896324784774e-05
262,7.28,2.43855914986067e-08
266,7.24,0
270,6.65,6.85797348149071e-06
273,6.75,0.000188745635599013
274,8.17,6.16693675387354e-10
277,5.77,6.01975761869837e-05
280,8.33,0
282,5.1,0.00403057264310506
287,7.78,8.28155418907775e-09
293,7.41,4.88476184562715e-08
314,7.7,0
319,6.8,3.823957845238e-05
323,7.49,1.41703664071978e-09
335,5.3,0
338,6.46,0.000363368672089579
341,7.79,9.69551626125472e-05
346,7.03,0
351,3.33,0.959273783924492
353,5.97,0.962080501808268
355,6.34,0.00490475398102152
359,8.14,3.64288081083149e-07
362,5.87,0.0134238088213601
363,7.68,1.14997965376011e-05
365,9.31,0
366,6.62,9.41645655381519e-05
368,8.68,0
369,7.56,3.88644666714427e-07
378,6.46,0.00561456517741753
379,3.39,0.0546348652293105
380,3.7,0.573233114056431
383,6.99,4.54037768971371e-06
384,7.28,0
385,6.33,0.00124842556923079
387,7.26,1.27238715369153e-07
388,6.98,0
391,5.18,0.000190510437053618
393,7.1,4.10808561669757e-05
397,8.47,0
402,6.01,0
404,7.09,0
407,3.71,0.8139716478874
411,4.94,0.0696375671960425
412,7.93,0
416,8.66,0
419,6.44,5.88262415553519e-05
422,6.34,0.0190157421228526
425,5.32,0.0236521051907709
427,8.01,0
428,8.09,0
429,6.52,0.0281961411518108
434,8.32,1.15918861279141e-07
438,4.45,0.175251405124417
441,7.72,5.39397359513848e-06
442,8.74,0
444,2.93,0.997381371517675
445,4.24,0.0343785417453721
446,8.05,0
447,2.95,0.963235474672284
448,5.31,0.239837398373984
452,7.21,0
455,7.82,5.54804231769529e-06
458,7.82,0
459,6.04,0
460,8.6,6.87031849116132e-08
470,7.89,0.0162025940585923
474,7.93,0
475,8.35,6.18203548208739e-09
477,8.1,0
483,8.35,0
489,5.44,0
490,8.98,0
493,7.7,2.93846990249229e-07
496,6,0
500,9.27,0
504,7.42,1.45085470266474e-05
550,7.25,0
551,6.92,0
552,6.52,0.00195960972846349
553,8.54,0
555,7.87,0
558,6.41,3.57533949194484e-06
560,6.94,0.000450344308248915
561,4.19,0.440048332152647
562,8.73,0
563,7.73,0.000170717783193243
568,6.05,0
576,5.09,0.0331010452961672
584,8.34,3.61810604291518e-09
586,8.3,1.18002284763071e-09
595,6.21,0.0105184436947901
597,5.54,0.0328146492463449
598,6.88,3.58872686488751e-07
600,6.71,3.05352238040014e-08
603,7.84,1.24657969603655e-08
608,4.49,0.213603547484503
609,7.31,0
610,5.89,0.000642128145927667
611,5.98,0.00143586941734644
612,5.2,0.00246340793744308
616,5.07,0.0511197176443996
617,5.98,7.53066283947685e-05
618,7.7,0
620,7.32,0
626,5.48,0
628,4.19,0.777760819456189
629,5.53,0
631,6.04,0.00515170872019622
634,6,1.4188503502211e-07
638,6.92,0
639,3.38,0.897443715800249
647,5.15,0.950530463079049
651,6.44,0.290505069672092
653,6.71,0.120755920576869
654,5.42,0.00561456517741753
657,6.33,0
666,4.63,0.0435553665840846
667,5.87,0.00132036528795418
669,8.82,0.000599523919322864
671,5.52,0
679,8.82,0
681,5.32,0.00198960514688454
683,5.23,0
692,0.98,0.97581669588753
693,8.17,0
694,6.43,3.83372262667976e-08
704,6.15,0.437844901493014
707,5.87,0.446800961178036
714,6.72,0.000229122581782015
715,6.46,0.00181388355398901
716,5.46,0.00601864383713497
717,8.24,0
719,5.1,0.0631266163536288
723,4.5,0.651867740499413
724,4.81,0.22821343182597
741,8.19,1.06459960664291e-05
743,6.74,1.19078145708535e-05
801,4.3,0.336323020982507
811,6.99,0
812,2.55,0.68505215195471
813,7.93,0
815,7.62,7.35207874280151e-07
817,7.08,0
818,8.32,0
819,3.99,0.119869827172364
822,5.6,0.014487536198709
823,6.87,0
827,6.03,0.000745522315868187
828,8.14,0
830,7.74,0
831,7.8,0
834,7.36,0
835,6.73,0
836,8.04,0
838,7.51,0
840,8.09,0
841,5.51,1.54812167143641e-05
842,6.4,0
844,4.81,0.00616352996423798
846,6.54,0
848,8.75,0
850,8.03,0
851,6.33,0
853,5.75,0
865,5.57,0.006167785073006
866,5.18,0.082186627353946
869,7.41,0
871,8.57,0
872,7.81,0
874,8.13,0
875,8.53,0
883,8.7,0
887,9.53,0
891,9.88,0
893,9.62,0
896,5.22,3.22859945854176e-05
900,9.24,0
901,7.98,0
902,9.21,4.14083359913875e-10
903,8.82,0
905,9.26,0
920,7.37,0
930,6.63,0.000125746715386138
931,5.95,0.000192806575729787
935,8.02,0
936,9.21,0
940,8.64,4.56671461306983e-09
941,7.24,6.72743460196343e-05
942,9.11,8.16613910901308e-10
944,8.82,4.93138244575607e-08
954,7.38,3.22559165039692e-05
957,8.27,3.79448934156705e-07
964,7.99,0
971,9.12,0
973,7.73,8.0544606129796e-07
974,8.08,0
975,7.54,0
977,7.13,0.000105284825188682
982,8.1,0.000133356980694
984,8,0
994,7.2,1.61041671087527e-07
1002,8,0
1006,7.73,0.000158495338632973
1010,6.8,0.00843494619648138
1012,5.55,0.0288253503635303
1015,7.28,0
1020,7.78,0
