"Pair","PfamH","Pfam","PFamL"
"Pbap",0.36609907120743,0.479102167182663,0.154798761609907
"Aeshnidae_Amphipoda",0.00211416490486258,0,0
"Aeshnidae_Ancylidae",0.00634249471458774,0.00726978998384491,0.005
"Aeshnidae_Asellidae",0.00211416490486258,0.00888529886914378,0.0125
"Aeshnidae_Athericidae",0.0200845665961945,0.018578352180937,0
"Aeshnidae_Baetidae",0.0560253699788584,0.0516962843295638,0.0125
"Aeshnidae_Baetiscidae",0.00211416490486258,0.000807754442649435,0
"Aeshnidae_Bithyniidae",0,0.000807754442649435,0
"Aeshnidae_Brachycentridae",0.0137420718816068,0.00565428109854604,0
"Aeshnidae_Caenidae",0.0105708245243129,0.00565428109854604,0.0025
"Aeshnidae_Calopterygidae",0.00317124735729387,0.00888529886914378,0.0075
"Aeshnidae_Cambaridae",0.0126849894291755,0.0137318255250404,0.005
"Aeshnidae_Capniidae",0.00317124735729387,0.00323101777059774,0
"Aeshnidae_Chironomidae",0.0644820295983087,0.0751211631663974,0.03
"Aeshnidae_Chironomus",0,0.0024232633279483,0.005
"Aeshnidae_Chloroperlidae",0.0169133192389006,0.00646203554119548,0
"Aeshnidae_Coenagrionidae",0.00211416490486258,0.00565428109854604,0.005
"Aeshnidae_Cordulegastridae",0.00211416490486258,0.00565428109854604,0.005
"Aeshnidae_Corduliidae",0,0,0
"Aeshnidae_Corixidae",0,0.00161550888529887,0
"Aeshnidae_Corydalidae",0.0369978858350951,0.0395799676898223,0.0075
"Aeshnidae_Curculionidae",0,0,0
"Aeshnidae_Dixidae",0.00211416490486258,0,0
"Aeshnidae_Dryopidae",0,0.00323101777059774,0.0025
"Aeshnidae_Dytiscidae",0.00105708245243129,0.00161550888529887,0
"Aeshnidae_Elmidae",0.0591966173361522,0.0694668820678514,0.0225
"Aeshnidae_Empididae",0.0169133192389006,0.018578352180937,0.01
"Aeshnidae_Ephemerellidae",0.0465116279069767,0.0161550888529887,0.0025
"Aeshnidae_Ephemeridae",0.00634249471458774,0.000807754442649435,0
"Aeshnidae_Glossosomatidae",0.0147991543340381,0.00484652665589661,0
"Aeshnidae_Goeridae",0.00422832980972516,0.0024232633279483,0
"Aeshnidae_Gomphidae",0.0232558139534884,0.0193861066235864,0
"Aeshnidae_Gyrinidae",0.00211416490486258,0.00323101777059774,0
"Aeshnidae_Haliplidae",0.00105708245243129,0.000807754442649435,0.0025
"Aeshnidae_Helicopsychidae",0.00422832980972516,0.0024232633279483,0
"Aeshnidae_Heptageniidae",0.0496828752642706,0.0323101777059774,0.005
"Aeshnidae_Hirudinea",0.00105708245243129,0.00403877221324717,0.005
"Aeshnidae_Hydraenidae",0,0,0
"Aeshnidae_Hydrophilidae",0,0.00323101777059774,0.0025
"Aeshnidae_Hydropsychidae",0.0496828752642706,0.0605815831987076,0.015
"Aeshnidae_Hydroptilidae",0.00739957716701903,0.00484652665589661,0.0025
"Aeshnidae_Isonychiidae",0.0274841437632135,0.0113085621970921,0.0025
