"sample_id","coll_date","bap","WAVE","freq"
"1",2,"7/26/2007",5.4,"Athericidae",1
"2",3,"7/26/2007",8.07,"Perlidae",1
"3",3,"7/26/2007",8.07,"Brachycentridae",1
"4",3,"7/26/2007",8.07,"Philopotamidae",2
"5",3,"7/26/2007",8.07,"Psephenidae",1
"6",3,"7/26/2007",8.07,"Ephemeridae",1
"7",3,"7/26/2007",8.07,"Isonychiidae",1
"8",3,"7/26/2007",8.07,"Perlodidae",1
"9",3,"7/26/2007",8.07,"Leuctridae",1
"10",3,"7/26/2007",8.07,"Corydalidae",1
"11",3,"7/26/2007",8.07,"Rhyacophilidae",1
"12",3,"7/26/2007",8.07,"Ephemerellidae",1
"13",3,"7/26/2007",8.07,"Heptageniidae",1
"14",4,"7/26/2007",5.73,"Perlidae",1
"15",4,"7/26/2007",5.73,"Philopotamidae",1
"16",4,"7/26/2007",5.73,"Psephenidae",1
"17",4,"7/26/2007",5.73,"Glossosomatidae",1
"18",4,"7/26/2007",5.73,"Leuctridae",1
"19",4,"7/26/2007",5.73,"Corydalidae",1
"20",4,"7/26/2007",5.73,"Pteronarcidae",1
"21",4,"7/26/2007",5.73,"Rhyacophilidae",1
"22",7,"7/26/2007",6.96,"Perlidae",2
"23",7,"7/26/2007",6.96,"Philopotamidae",2
"24",7,"7/26/2007",6.96,"Isonychiidae",1
"25",7,"7/26/2007",6.96,"Leuctridae",1
"26",7,"7/26/2007",6.96,"Psephenidae",1
"27",7,"7/26/2007",6.96,"Rhyacophilidae",1
"28",7,"7/26/2007",6.96,"Ephemerellidae",1
"29",10,"7/31/2007",4.51,"Athericidae",1
"30",10,"7/31/2007",4.51,"Corydalidae",1
"31",13,"8/1/2007",8.29,"Brachycentridae",1
"32",13,"8/1/2007",8.29,"Philopotamidae",1
"33",13,"8/1/2007",8.29,"Corydalidae",1
"34",13,"8/1/2007",8.29,"Hydroptilidae",1
"35",13,"8/1/2007",8.29,"Isonychiidae",1
"36",13,"8/1/2007",8.29,"Heptageniidae",5
"37",13,"8/1/2007",8.29,"Ephemerellidae",1
"38",19,"9/13/2007",8.08,"Athericidae",1
"39",19,"9/13/2007",8.08,"Caenidae",1
"40",19,"9/13/2007",8.08,"Philopotamidae",1
"41",19,"9/13/2007",8.08,"Helicopsychidae",1
"42",19,"9/13/2007",8.08,"Isonychiidae",1
"43",19,"9/13/2007",8.08,"Brachycentridae",1
"44",19,"9/13/2007",8.08,"Corydalidae",1
"45",19,"9/13/2007",8.08,"Psephenidae",1
"46",19,"9/13/2007",8.08,"Heptageniidae",2
"47",19,"9/13/2007",8.08,"Gomphidae",1
"48",23,"8/1/2007",7.89,"Caenidae",1
"49",23,"8/1/2007",7.89,"Philopotamidae",1
"50",23,"8/1/2007",7.89,"Helicopsychidae",1
"51",23,"8/1/2007",7.89,"Hydroptilidae",1
"52",23,"8/1/2007",7.89,"Isonychiidae",1
"53",23,"8/1/2007",7.89,"Perlidae",1
"54",23,"8/1/2007",7.89,"Ephemerellidae",1
"55",23,"8/1/2007",7.89,"Heptageniidae",1
"56",24,"7/31/2007",7.06,"Perlidae",1
"57",24,"7/31/2007",7.06,"Philopotamidae",1
"58",24,"7/31/2007",7.06,"Corydalidae",1
"59",24,"7/31/2007",7.06,"Psephenidae",1
"60",24,"7/31/2007",7.06,"Heptageniidae",1
"61",24,"7/31/2007",7.06,"Gomphidae",1
"62",25,"8/1/2007",3.4,"Caenidae",1
"63",27,"7/31/2007",6.8,"Perlidae",1
"64",27,"7/31/2007",6.8,"Athericidae",1
"65",27,"7/31/2007",6.8,"Philopotamidae",1
"66",27,"7/31/2007",6.8,"Isonychiidae",1
"67",27,"7/31/2007",6.8,"Heptageniidae",2
"68",27,"7/31/2007",6.8,"Psephenidae",1
"69",27,"7/31/2007",6.8,"Ephemerellidae",1
"70",27,"7/31/2007",6.8,"Gomphidae",1
"71",28,"8/2/2007",7.55,"Perlidae",1
"72",28,"8/2/2007",7.55,"Potamanthidae",1
"73",28,"8/2/2007",7.55,"Athericidae",1
"74",28,"8/2/2007",7.55,"Caenidae",1
"75",28,"8/2/2007",7.55,"Philopotamidae",1
"76",28,"8/2/2007",7.55,"Hydroptilidae",1
"77",28,"8/2/2007",7.55,"Heptageniidae",2
"78",28,"8/2/2007",7.55,"Ephemerellidae",1
"79",30,"9/11/2007",6.69,"Perlidae",1
"80",30,"9/11/2007",6.69,"Athericidae",1
"81",30,"9/11/2007",6.69,"Philopotamidae",2
"82",30,"9/11/2007",6.69,"Isonychiidae",1
"83",30,"9/11/2007",6.69,"Corydalidae",1
"84",30,"9/11/2007",6.69,"Psephenidae",1
"85",30,"9/11/2007",6.69,"Heptageniidae",1
"86",32,"9/12/2007",4.39,"Philopotamidae",1
"87",32,"9/12/2007",4.39,"Isonychiidae",1
"88",34,"9/11/2007",5.81,"Caenidae",1
"89",34,"9/11/2007",5.81,"Hydroptilidae",1
"90",34,"9/11/2007",5.81,"Heptageniidae",1
"91",34,"9/11/2007",5.81,"Gomphidae",1
"92",36,"7/31/2007",6.88,"Perlidae",1
"93",36,"7/31/2007",6.88,"Philopotamidae",1
"94",36,"7/31/2007",6.88,"Isonychiidae",1
"95",36,"7/31/2007",6.88,"Heptageniidae",2
"96",36,"7/31/2007",6.88,"Psephenidae",1
"97",38,"7/31/2007",5.47,"Athericidae",1
"98",38,"7/31/2007",5.47,"Heptageniidae",3
"99",38,"7/31/2007",5.47,"Gomphidae",1
"100",39,"7/31/2007",4.03,"Hydroptilidae",1
"101",39,"7/31/2007",4.03,"Corydalidae",1
"102",42,"9/12/2007",5.91,"Perlidae",1
"103",42,"9/12/2007",5.91,"Philopotamidae",1
"104",42,"9/12/2007",5.91,"Isonychiidae",1
"105",42,"9/12/2007",5.91,"Psephenidae",1
"106",42,"9/12/2007",5.91,"Rhyacophilidae",1
"107",44,"9/13/2007",6.43,"Heptageniidae",1
"108",47,"8/1/2007",3.95,"Heptageniidae",1
"109",47,"8/1/2007",3.95,"Leuctridae",1
"110",48,"8/1/2007",7.98,"Perlidae",1
"111",48,"8/1/2007",7.98,"Caenidae",1
"112",48,"8/1/2007",7.98,"Philopotamidae",1
