"sample_id","coll_date","bap","WAVE"
"40.52528_-74.20972","2013-09-19",3.74,"Amphipoda"
"40.52528_-74.20972","2013-09-19",3.74,"Simuliidae"
"40.52528_-74.20972","2013-09-19",3.74,"Hirudinea"
"40.575_-74.13695","2003-09-17",4.89,"Simuliidae"
"40.575_-74.13695","2003-09-17",4.89,"Calopterygidae"
"40.575_-74.13695","2003-09-17",4.89,"Turbellaria"
"40.5933_-74.1637","2003-09-17",4.21,"Asellidae"
"40.5933_-74.1637","2003-09-17",4.21,"Chironomus"
"40.5933_-74.1637","2003-09-17",4.21,"Amphipoda"
"40.5933_-74.1637","2003-09-17",4.21,"Physidae"
"40.5933_-74.1637","2003-09-17",4.21,"Simuliidae"
"40.6275_-74.12305","2013-09-19",3.97,"Asellidae"
"40.6275_-74.12305","2013-09-19",3.97,"Philopotamidae"
"40.6275_-74.12305","2013-09-19",3.97,"Amphipoda"
"40.6275_-74.12305","2013-09-19",3.97,"Simuliidae"
"40.6275_-74.12305","2013-09-19",3.97,"Hirudinea"
"40.6275_-74.12305","2013-09-19",3.97,"Turbellaria"
"40.6375_-74.12833","2008-09-11",0.48,"Amphipoda"
"40.664825_-73.569848","1998-09-22",3.17,"Hydroptilidae"
"40.664825_-73.569848","1998-09-22",3.17,"Simuliidae"
"40.664825_-73.569848","1998-09-22",3.17,"Pelecypoda"
"40.664825_-73.569848","1998-09-22",3.17,"Coenagrionidae"
"40.664825_-73.569848","1998-09-22",3.17,"Turbellaria"
"40.76722_-72.98055","2008-07-23",5.79,"Asellidae"
"40.76722_-72.98055","2008-07-23",5.79,"Amphipoda"
"40.76722_-72.98055","2008-07-23",5.79,"Uenoidae"
"40.76722_-72.98055","2008-07-23",5.79,"Hirudinea"
"40.775_-73.03361","1998-07-23",4.01,"Amphipoda"
"40.775_-73.03361","1998-07-23",4.01,"Simuliidae"
"40.775_-73.03361","1998-07-23",4.01,"Turbellaria"
"40.79556_-73.95695","1998-07-22",4.14,"Asellidae"
"40.79556_-73.95695","1998-07-22",4.14,"Pelecypoda"
"40.79556_-73.95695","1998-07-22",4.14,"Hirudinea"
"40.79556_-73.95695","1998-07-22",4.14,"Turbellaria"
"40.795773_-73.744857","2013-09-18",3.86,"Chironomus"
"40.795773_-73.744857","2013-09-18",3.86,"Hydroptilidae"
"40.795773_-73.744857","2013-09-18",3.86,"Physidae"
"40.795773_-73.744857","2013-09-18",3.86,"Turbellaria"
"40.843223_-73.876689","2014-09-12",4.09,"Amphipoda"
"40.843223_-73.876689","2014-09-12",4.09,"Hydroptilidae"
"40.843223_-73.876689","2014-09-12",4.09,"Turbellaria"
"40.86389_-73.635","1999-09-23",3.15,"Asellidae"
"40.86389_-73.635","1999-09-23",3.15,"Pelecypoda"
"40.86389_-73.635","1999-09-23",3.15,"Hirudinea"
"40.86389_-73.635","1999-09-23",3.15,"Lymnaeidae"
"40.86389_-73.635","1999-09-23",3.15,"Turbellaria"
"40.86694_-73.54139","1998-09-22",2.83,"Physidae"
"40.86694_-73.54139","1998-09-22",2.83,"Simuliidae"
"40.86694_-73.54139","1998-09-22",2.83,"Turbellaria"
"40.88_-73.86861","2014-09-12",4.03,"Amphipoda"
"40.88_-73.86861","2014-09-12",4.03,"Hirudinea"
"40.88_-73.86861","2014-09-12",4.03,"Physidae"
"40.88_-73.86861","2014-09-12",4.03,"Turbellaria"
"40.8925_-73.79222","2008-09-10",1.24,"Hirudinea"
"40.89417_-73.88972","1998-07-22",2.38,"Asellidae"
"40.89417_-73.88972","1998-07-22",2.38,"Amphipoda"
"40.89417_-73.88972","1998-07-22",2.38,"Pelecypoda"
"40.89417_-73.88972","1998-07-22",2.38,"Coenagrionidae"
"40.89417_-73.88972","1998-07-22",2.38,"Corixidae"
"40.89417_-73.88972","1998-07-22",2.38,"Hirudinea"
"40.89417_-73.88972","1998-07-22",2.38,"Turbellaria"
"40.9094_-73.8142","1999-09-15",4.15,"Coenagrionidae"
"40.9094_-73.8142","1999-09-15",4.15,"Asellidae"
"40.9094_-73.8142","1999-09-15",4.15,"Amphipoda"
"40.9094_-73.8142","1999-09-15",4.15,"Simuliidae"
"40.9094_-73.8142","1999-09-15",4.15,"Turbellaria"
"40.915_-73.849","2014-09-12",3.78,"Amphipoda"
"40.915_-73.849","2014-09-12",3.78,"Hydroptilidae"
"40.915_-73.849","2014-09-12",3.78,"Turbellaria"
"40.9225_-73.80972","1999-09-15",4.52,"Asellidae"
"40.9225_-73.80972","1999-09-15",4.52,"Simuliidae"
"40.9225_-73.80972","1999-09-15",4.52,"Hirudinea"
"40.9225_-73.80972","1999-09-15",4.52,"Turbellaria"
"40.93694_-73.88639","2007-09-12",3.9,"Physidae"
"40.93694_-73.88639","2007-09-12",3.9,"Turbellaria"
"40.95222_-73.73444","2013-09-18",3.42,"Philopotamidae"
"40.95222_-73.73444","2013-09-18",3.42,"Amphipoda"
"40.95222_-73.73444","2013-09-18",3.42,"Simuliidae"
"40.95222_-73.73444","2013-09-18",3.42,"Turbellaria"
"40.95338_-73.72029","2008-09-11",4.03,"Amphipoda"
"40.95338_-73.72029","2008-09-11",4.03,"Simuliidae"
"40.95338_-73.72029","2008-09-11",4.03,"Hirudinea"
"40.95944_-73.821995","2014-09-12",4.56,"Simuliidae"
"40.95944_-73.821995","2014-09-12",4.56,"Turbellaria"
"40.96695_-73.79611","1999-09-15",4.3,"Hirudinea"
"40.96695_-73.79611","1999-09-15",4.3,"Philopotamidae"
"40.983283_-73.68625","2013-09-18",3.52,"Amphipoda"
"40.983283_-73.68625","2013-09-18",3.52,"Physidae"
"40.983283_-73.68625","2013-09-18",3.52,"Simuliidae"
"40.98583_-73.73889","1999-09-14",3.97,"Amphipoda"
"40.98583_-73.73889","1999-09-14",3.97,"Simuliidae"
"40.98583_-73.73889","1999-09-14",3.97,"Turbellaria"
"40.9865_-73.73732","2008-09-10",3.93,"Amphipoda"
"40.9865_-73.73732","2008-09-10",3.93,"Simuliidae"
