"SiteID","Date","bap","Families"
"41.15235_-74.24035","2007-09-12",8.39,"Ancylidae,Baetidae,Cambaridae,Chironomidae,Corydalidae,Empididae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Pelecypoda,Peltoperlidae,Perlidae,Philopotamidae,Simuliidae,Tipulidae"
"41.16472_-74.18361","2012-08-01",7.55,"Baetidae,Cambaridae,Chironomidae,Empididae,Glossosomatidae,Heptageniidae,Hydropsychidae,Isonychiidae,Leuctridae,Perlidae,Psephenidae"
"41.21269_-74.335577","2012-09-13",9.31,"Aeshnidae,Baetidae,Chironomidae,Elmidae,Ephemerellidae,Gomphidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Pteronarcidae,Rhyacophilidae,Tipulidae"
"41.23778_-74.02194","2002-09-11",8.55,"Baetidae,Brachycentridae,Chironomidae,Elmidae,Empididae,Ephemerellidae,Gomphidae,Heptageniidae,Hydropsychidae,Hydroptilidae,Isonychiidae,Leptophlebiidae,Leuctridae,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Turbellaria"
"41.24889_-73.67028","2003-07-30",7.82,"Baetidae,Chironomidae,Corydalidae,Elmidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Rhyacophilidae,Simuliidae"
"41.2531_-74.3071","2012-09-13",7.6,"Amphipoda,Baetidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Gomphidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Pteronarcidae,Rhyacophilidae,Simuliidae"
"41.26028_-73.60194","2005-07-06",8.8,"Ancylidae,Baetidae,Cambaridae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Glossosomatidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Psychomyiidae,Tipulidae,Turbellaria"
"41.31389_-73.90889","2005-07-21",7.57,"Baetidae,Chironomidae,Cordulegastridae,Corydalidae,Elmidae,Empididae,Gomphidae,Hydrophilidae,Hydropsychidae,Lepidostomatidae,Leuctridae,Limnephilidae,OLIGOCHAETA,Pelecypoda,Perlidae,Philopotamidae,Tabanidae"
"41.32361_-73.5975","2000-07-12",7.76,"Baetidae,Cambaridae,Chironomidae,Elmidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,Leptophlebiidae,Philopotamidae,Psephenidae,Psychomyiidae"
"41.33306_-73.87473","2008-07-16",7.73,"Asellidae,Chironomidae,Elmidae,Ephemerellidae,Hydropsychidae,Isonychiidae,Lepidostomatidae,Leptohyphidae,OLIGOCHAETA,Perlidae,Philopotamidae,Polycentropodidae,Psephenidae,Tipulidae"
"41.3517_-74.6864","2004-08-03",8.4,"Baetidae,Chironomidae,Corydalidae,Elmidae,Glossosomatidae,Gomphidae,Helicopsychidae,Heptageniidae,Hydropsychidae,Isonychiidae,Lepidostomatidae,Leptoceridae,Perlidae,Philopotamidae,Psephenidae,Psychomyiidae,Rhyacophilidae"
"41.35361_-73.84194","2005-07-21",8.34,"Aeshnidae,Athericidae,Baetidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Heptageniidae,Hydropsychidae,Isonychiidae,Leptohyphidae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Tipulidae"
"41.41278_-74.72945","2014-08-06",7.97,"Athericidae,Baetidae,Brachycentridae,Chironomidae,Corydalidae,Glossosomatidae,Heptageniidae,Isonychiidae,Odontoceridae,Perlidae,Philopotamidae,Tipulidae"
"41.41889_-73.77583","2011-07-20",7.62,"Aeshnidae,Athericidae,Chironomidae,Corydalidae,Elmidae,Empididae,Ephemerellidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Leuctridae,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Tipulidae"
"41.4234_-73.55701","2011-07-19",8.33,"Aeshnidae,Baetidae,Brachycentridae,Chironomidae,Chloroperlidae,Corydalidae,Elmidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Hydroptilidae,Leuctridae,Peltoperlidae,Philopotamidae,Psephenidae,Psychomyiidae,Rhyacophilidae,Sialidae,Tipulidae"
"41.42667_-74.75611","1999-08-17",8.61,"Amphipoda,Baetidae,Brachycentridae,Caenidae,Chironomidae,Corydalidae,Elmidae,Empididae,Ephemerellidae,Heptageniidae,Hydropsychidae,Isonychiidae,Perlidae,Philopotamidae"
"41.4422_-74.6002","2014-08-06",9,"Baetidae,Brachycentridae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Helicopsychidae,Heptageniidae,Hydropsychidae,Isonychiidae,Lepidostomatidae,Perlidae,Philopotamidae,Psephenidae,Turbellaria"
"41.47222_-73.69139","2000-07-06",8.44,"Amphipoda,Baetidae,Chironomidae,Corydalidae,Elmidae,Glossosomatidae,Gomphidae,Hydropsychidae,Leuctridae,OLIGOCHAETA,Peltoperlidae,Perlidae,Philopotamidae,Polycentropodidae,Psephenidae,Rhyacophilidae,Simuliidae,Tipulidae"
"41.4775_-74.91","2010-09-22",9.1,"Athericidae,Baetidae,Brachycentridae,Chironomidae,Elmidae,Empididae,Ephemerellidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Leptophlebiidae,Perlidae,Philopotamidae,Simuliidae,Tipulidae"
"41.48222_-74.98528","1999-08-18",8.1,"Baetidae,Brachycentridae,Chironomidae,Elmidae,Ephemerellidae,Heptageniidae,Hydropsychidae,Hydroptilidae,Isonychiidae,Lepidostomatidae,Perlidae,Philopotamidae,Polycentropodidae,Simuliidae"
"41.49944_-73.53361","2000-07-06",9.09,"Athericidae,Baetidae,Brachycentridae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Gomphidae,Hydropsychidae,Isonychiidae,Leuctridae,Peltoperlidae,Perlidae,Philopotamidae,Rhyacophilidae,Simuliidae,Tipulidae"
"41.50278_-74.55972","2010-09-22",8.44,"Baetidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Hydropsychidae,Lepidostomatidae,Leptophlebiidae,Perlidae,Philopotamidae,Psephenidae,Pteronarcidae,Tipulidae"
"41.50444_-74.64778","2015-08-27",8.28,"Athericidae,Baetidae,Brachycentridae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Isonychiidae,Leptoceridae,Perlidae,Philopotamidae,Psephenidae,Simuliidae"
"41.51111_-74.47417","2007-08-28",7.91,"Athericidae,Brachycentridae,Chironomidae,Corydalidae,Elmidae,Ephemeridae,Glossosomatidae,Heptageniidae,Isonychiidae,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Sialidae"
"41.55442_-75.02014","2009-09-02",8.24,"Athericidae,Baetidae,Brachycentridae,Chironomidae,Elmidae,Heptageniidae,Hydropsychidae,Isonychiidae,Lepidostomatidae,Philopotamidae,Simuliidae"
"41.57083_-75.00945","2010-09-22",7.86,"Ancylidae,Baetidae,Brachycentridae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Gomphidae,Heptageniidae,Hydropsychidae,Leuctridae,Perlidae,Philopotamidae,Polycentropodidae,Pteronarcidae,Rhyacophilidae,Simuliidae"
"41.595_-74.36528","2008-07-22",9.29,"Athericidae,Baetidae,Caenidae,Cambaridae,Chironomidae,Elmidae,Empididae,Glossosomatidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,Leuctridae,Odontoceridae,Perlidae,Psephenidae,Tipulidae"
"41.61194_-73.70111","2002-09-11",8.76,"Baetidae,Brachycentridae,Caenidae,Chironomidae,Corydalidae,Elmidae,Empididae,Ephemerellidae,Gomphidae,Heptageniidae,Hydropsychidae,Hydroptilidae,Isonychiidae,OLIGOCHAETA,Philopotamidae,Psephenidae,Psychomyiidae,Tipulidae"
"41.63445_-74.61916","2006-09-27",7.65,"Baetidae,Brachycentridae,Elmidae,Ephemerellidae,Glossosomatidae,Hydropsychidae,Isonychiidae,Perlidae,Philopotamidae,Uenoidae"
"41.6474_-74.5888","2008-07-18",8.05,"Baetidae,Brachycentridae,Chironomidae,Elmidae,Empididae,Glossosomatidae,Heptageniidae,Hydropsychidae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Tipulidae,Turbellaria,Uenoidae"
"41.65389_-73.53861","2012-09-11",7.5,"Baetidae,Brachycentridae,Caenidae,Chironomidae,Corydalidae,Elmidae,Heptageniidae,Hydropsychidae,Hydroptilidae,Isonychiidae,OLIGOCHAETA,Philopotamidae,Psephenidae,Tipulidae,Turbellaria"
"41.66678_-74.7826","2015-08-26",8.61,"Amphipoda,Baetidae,Brachycentridae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Heptageniidae,Hydropsychidae,Isonychiidae,Perlidae,Perlodidae,Philopotamidae,Psychomyiidae,Tipulidae"
"41.68111_-74.775","2010-09-23",8.8,"Athericidae,Baetidae,Brachycentridae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Glossosomatidae,Gomphidae,Hydropsychidae,Isonychiidae,Odontoceridae,Perlidae,Philopotamidae,Rhyacophilidae"
"41.6833_-74.5243","2012-09-13",8.76,"Baetidae,Chironomidae,Ephemerellidae,Hydropsychidae,Isonychiidae,Leptophlebiidae,Perlidae,Philopotamidae,Rhyacophilidae,Tipulidae"
"41.70722_-74.78861","2000-09-20",8.28,"Ancylidae,Baetidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Glossosomatidae,Gomphidae,Hydropsychidae,OLIGOCHAETA,Pelecypoda,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae,Simuliidae,Tipulidae"
"41.70761_-74.74079","2010-09-23",8.57,"Baetidae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,Perlidae,Philopotamidae,Rhyacophilidae,Tipulidae"
"41.71054_-73.62212","2007-09-13",8.85,"Baetidae,Chironomidae,Chloroperlidae,Elmidae,Empididae,Ephemerellidae,Heptageniidae,Hydrophilidae,Hydropsychidae,Isonychiidae,Leptophlebiidae,Leuctridae,Philopotamidae,Polycentropodidae,Psephenidae,Pteronarcidae,Rhyacophilidae,Simuliidae,Tipulidae,Uenoidae"
"41.71605_-73.755239","2012-09-11",8.24,"Athericidae,Baetidae,Chironomidae,Elmidae,Ephemerellidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,Odontoceridae,OLIGOCHAETA,Philopotamidae,Rhyacophilidae,Simuliidae,Turbellaria"
"41.71917_-74.79028","2000-09-20",7.54,"Baetidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Glossosomatidae,Hydropsychidae,Perlidae,Psephenidae,Rhyacophilidae,Simuliidae,Tipulidae"
"41.729052_-74.983332","2014-09-30",8.83,"Amphipoda,Athericidae,Baetidae,Chironomidae,Corydalidae,Elmidae,Glossosomatidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Polycentropodidae,Psephenidae,Rhyacophilidae,Tipulidae"
"41.74194_-73.82861","2002-07-03",8.45,"Baetidae,Caenidae,Chironomidae,Elmidae,Empididae,Ephemerellidae,Gomphidae,Gyrinidae,Hydropsychidae,Perlidae,Philopotamidae,Polycentropodidae,Psephenidae,Simuliidae,Tipulidae,Turbellaria"
"41.742988_-74.693758","2014-08-06",8.88,"Athericidae,Baetidae,Chironomidae,Corydalidae,Elmidae,Empididae,Heptageniidae,Isonychiidae,Leptohyphidae,Leptophlebiidae,Leuctridae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Simuliidae,Tipulidae"
"41.75845_-75.0293","2004-08-04",7.56,"Athericidae,Baetidae,Brachycentridae,Chironomidae,Elmidae,Ephemerellidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,Odontoceridae,OLIGOCHAETA,Pelecypoda,Perlidae,Philopotamidae"
"41.76_-74.59917","2006-09-28",8.81,"Baetidae,Brachycentridae,Chironomidae,Elmidae,Ephemerellidae,Hydroptilidae,Leptophlebiidae,Perlidae,Rhyacophilidae,Simuliidae,Tipulidae,Uenoidae"
"41.760347_-75.033662","2014-08-06",8.41,"Athericidae,Baetidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Gyrinidae,Heptageniidae,Hydropsychidae,Leptohyphidae,Odontoceridae,Perlidae,Philopotamidae,Polycentropodidae,Psephenidae,Tipulidae"
"41.76444_-75.05556","2015-08-26",8.65,"Baetidae,Brachycentridae,Caenidae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Gomphidae,Helicopsychidae,Heptageniidae,Hydropsychidae,Isonychiidae,Lepidostomatidae,Odontoceridae,Perlidae,Psephenidae,Tipulidae"
"41.765023_-74.942465","2014-09-30",7.69,"Baetidae,Chironomidae,Corydalidae,Elmidae,Glossosomatidae,Hydropsychidae,Hydroptilidae,Isonychiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Polycentropodidae"
"41.7652_-75.06036","2014-08-06",9.02,"Athericidae,Baetidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Glossosomatidae,Gomphidae,Helicopsychidae,Heptageniidae,Hydropsychidae,Isonychiidae,Odontoceridae,OLIGOCHAETA,Pelecypoda,Perlidae,Philopotamidae,Psephenidae,Rhyacophilidae"
"41.767805_-75.028513","2014-09-30",8.55,"Baetidae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Heptageniidae,Isonychiidae,Leptophlebiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Simuliidae,Tipulidae"
"41.77306_-74.40083","2002-07-01",9.4,"Ancylidae,Baetidae,Brachycentridae,Chironomidae,Corydalidae,Elmidae,Empididae,Ephemerellidae,Glossosomatidae,Isonychiidae,Leptoceridae,Leptophlebiidae,Leuctridae,Perlidae,Polycentropodidae,Tipulidae,Turbellaria"
"41.78908_-74.895092","2014-09-30",8.46,"Baetidae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Pteronarcidae,Tipulidae"
"41.7893_-74.6158","2006-09-28",9.33,"Baetidae,Brachycentridae,Chironomidae,Chloroperlidae,Elmidae,Empididae,Ephemerellidae,Hydropsychidae,Hydroptilidae,Leptophlebiidae,OLIGOCHAETA,Perlidae,Perlodidae,Rhyacophilidae,Simuliidae,Tipulidae,Turbellaria"
"41.792_-74.6155","2008-07-18",8.94,"Ancylidae,Baetidae,Brachycentridae,Chironomidae,Chloroperlidae,Corydalidae,Elmidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Leptophlebiidae,Leuctridae,Perlidae,Philopotamidae,Rhyacophilidae,Tipulidae"
"41.79361_-73.93444","1995-09-13",8.15,"Baetidae,Caenidae,Chironomidae,Corydalidae,Elmidae,Gomphidae,Heptageniidae,Hydropsychidae,Isonychiidae,OLIGOCHAETA,Perlidae,Polycentropodidae,Psephenidae"
"41.79611_-74.24944","2007-09-11",7.53,"Athericidae,Baetidae,Cambaridae,Chironomidae,Elmidae,Heptageniidae,Isonychiidae,Leptophlebiidae,Perlidae,Philopotamidae,Psephenidae"
"41.80389_-73.7825","2002-07-03",8.36,"Amphipoda,Baetidae,Brachycentridae,Caenidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Heptageniidae,Hydropsychidae,Isonychiidae,Leptohyphidae,Pelecypoda,Perlidae,Philopotamidae,Psephenidae,Turbellaria"
"41.804318_-74.98434","2014-09-30",7.86,"Baetidae,Chironomidae,Elmidae,Ephemerellidae,Heptageniidae,Isonychiidae,Leptophlebiidae,Perlidae,Philopotamidae,Rhyacophilidae,Simuliidae,Tipulidae"
"41.80639_-74.22056","2002-09-11",8.11,"Athericidae,Baetidae,Caenidae,Capniidae,Chironomidae,Corydalidae,Elmidae,Gomphidae,Heptageniidae,Hirudinea,Hydrophilidae,Hydropsychidae,Isonychiidae,Leptophlebiidae,OLIGOCHAETA,Perlidae,Philopotamidae,Psephenidae,Simuliidae"
"41.81357_-73.759","2012-09-11",7.96,"Ancylidae,Baetidae,Brachycentridae,Chironomidae,Chloroperlidae,Corydalidae,Elmidae,Hydropsychidae,Hydroptilidae,Isonychiidae,Philopotamidae,Polycentropodidae,Psephenidae,Tipulidae,Turbellaria"
"41.82111_-74.11889","2008-07-18",7.82,"Aeshnidae,Ancylidae,Athericidae,Chironomidae,Corydalidae,Elmidae,Empididae,Ephemerellidae,Gomphidae,Gyrinidae,Heptageniidae,Hydropsychidae,Isonychiidae,Leptoceridae,Perlidae,Philopotamidae,Psephenidae,Sialidae,Tipulidae"
"41.83389_-73.81889","2002-09-11",7.68,"Caenidae,Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Gomphidae,Hydropsychidae,Isonychiidae,Philopotamidae,Psephenidae,Rhyacophilidae"
"41.84861_-74.53306","2007-09-11",8.38,"Baetidae,Chironomidae,Elmidae,Ephemerellidae,Heptageniidae,Isonychiidae,Leptophlebiidae,Odontoceridae,OLIGOCHAETA,Perlidae,Simuliidae,Tipulidae"
"41.86667_-74.48666","2002-07-01",8.86,"Baetidae,Brachycentridae,Chironomidae,Chloroperlidae,Empididae,Ephemerellidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Leptophlebiidae,OLIGOCHAETA,Polycentropodidae,Simuliidae,Tipulidae"
"41.88017_-74.50877","2011-07-20",8.15,"Baetidae,Cambaridae,Chironomidae,Chloroperlidae,Heptageniidae,Lepidostomatidae,Leptophlebiidae,Leuctridae,Perlodidae,Philopotamidae,Pteronarcidae,Simuliidae,Tipulidae"
"41.88241_-74.81073","2014-08-06",8.24,"Baetidae,Chironomidae,Elmidae,Ephemerellidae,Glossosomatidae,Heptageniidae,Hydropsychidae,Perlidae,Philopotamidae,Tipulidae"
"41.88778_-74.46584","2012-09-13",7.62,"Baetidae,Brachycentridae,Chironomidae,Chloroperlidae,Glossosomatidae,Hydropsychidae,Leptophlebiidae,OLIGOCHAETA,Perlodidae,Philopotamidae,Pteronarcidae,Rhyacophilidae,Simuliidae,Tipulidae"
"41.908143_-74.100313","2012-09-11",7.79,"Chironomidae,Corydalidae,Elmidae,Ephemerellidae,Heptageniidae,Hydropsychidae,Leptophlebiidae,Perlidae,Philopotamidae,Psephenidae,Simuliidae,Tipulidae"
