"sample_id","bap","probability"
2,5.4,0.619043918288319
3,8.07,0.999987569156192
4,5.73,0.999498412984191
7,6.96,0.997518226825263
10,4.51,0.652243797341066
13,8.29,0.995527855490154
19,8.08,0.998249492061965
23,7.89,0.992776674132825
24,7.06,0.983823123850196
25,3.4,0.000311662691984466
27,6.8,0.997198284236458
28,7.55,0.995960125751096
30,6.69,0.983857333636933
32,4.39,0.0239588319632271
33,3.05,0.0750339585715896
34,5.81,0.578468293289699
36,6.88,0.974810820460174
38,5.47,0.667657517445538
39,4.03,0.6349372506235
42,5.91,0.891258013301159
44,6.43,0.227029602435073
47,3.95,0.375434277745265
48,7.98,0.993828663300566
49,7.64,0.986482854377912
53,5.75,0.528815739113213
62,8.48,0.963742097024694
64,7.93,0.944032115061394
70,7.38,0.97770149126034
73,6.74,0.988307996192847
78,7.3,0.952637179540881
80,5.11,0.229414654444295
81,9.12,0.99618823877793
82,8.22,0.989789764102293
89,7.25,0.986633634428882
90,4.56,0.513230493645685
106,8.02,0.971402450129991
109,7.14,0.989364964701167
121,7.91,0.999852085031433
122,7.45,0.993082750973331
125,4.72,0.659964433666868
126,3.85,0.459451566634971
127,6.25,0.232741112364898
128,5.82,0.174883231001038
134,5.62,0.847513494944158
135,5.94,0.922080635677734
136,6.54,0.847158096423169
138,6.9,0.997043738039733
139,6.85,0.972326786920006
141,7.6,0.992942424203488
250,4.19,0.121727376757341
252,7.12,0.947783079745831
253,5.93,0.981776617022071
260,6.45,0.820232753744435
261,6.77,0.976535408316946
262,7.28,0.989532223669064
266,7.24,0.971966719933962
270,6.65,0.936326113479858
273,6.75,0.896970070445168
274,8.17,0.999475423739056
277,5.77,0.85423821758972
280,8.33,0.999802046471785
282,5.1,0.768278138347657
287,7.78,0.996379218747653
290,3.85,0.442804075628934
293,7.41,0.993779822130267
314,7.7,0.998361076651537
319,6.8,0.948278671782386
323,7.49,0.999683487366564
335,5.3,0.109726042466572
338,6.46,0.533926721041442
341,7.79,0.424103637416337
346,7.03,0.91501057371477
351,3.33,0.00229143071330861
353,5.97,0.000819361087388899
355,6.34,0.459950973151592
359,8.14,0.98429521401295
362,5.87,0.78403373947538
363,7.68,0.971863149891792
365,9.31,0.999993179019278
366,6.62,0.870548481251873
368,8.68,0.999859115621295
369,7.56,0.993094235772331
378,6.46,0.724073189363457
379,3.39,0.209319242940245
380,3.7,0.0651249326771409
383,6.99,0.921462479626234
384,7.28,0.920453866624657
385,6.33,0.258139495327146
387,7.26,0.983269215247431
388,6.98,0.999457000434277
391,5.18,0.929850424831056
393,7.1,0.943188432285143
397,8.47,0.999841018963328
402,6.01,0.140263609202099
404,7.09,0.999176352003191
407,3.71,0.0064763102256451
411,4.94,0.105280554525251
412,7.93,0.995767450619283
416,8.66,0.999363982000287
419,6.44,0.918533764232562
422,6.34,0.196103417544852
425,5.32,0.142537639130807
427,8.01,0.999957486989585
428,8.09,0.997286856575317
429,6.52,0.548349598294058
434,8.32,0.992073265986134
438,4.45,0.0910966558163315
441,7.72,0.684550333812829
442,8.74,0.999966730908
444,2.93,0.00235798869837709
445,4.24,0.439901676372084
446,8.05,0.999949620128651
447,2.95,0.000911916834807763
448,5.31,0.458752224386777
452,7.21,0.999926864816152
455,7.82,0.973361843784375
458,7.82,0.997752281720633
459,6.04,0.511326663011659
460,8.6,0.994870393443413
470,7.89,0.539522444300424
474,7.93,0.99616970908897
475,8.35,0.999451374373558
477,8.1,0.999276928518902
483,8.35,0.999756120371155
489,5.44,0.757809645182544
490,8.98,0.999913492525704
493,7.7,0.976460699626063
496,6,0.996029704278566
500,9.27,0.99922700291604
504,7.42,0.91399561965878
550,7.25,0.895480303362038
551,6.92,0.943461280654343
552,6.52,0.714174913498047
553,8.54,0.999902772180116
555,7.87,0.999887187402467
558,6.41,0.85215959204303
560,6.94,0.61408495380341
561,4.19,0.0745891663569651
562,8.73,0.973196193854616
563,7.73,0.891754501481317
568,6.05,0.383942789022603
576,5.09,0.564993943141744
584,8.34,0.998644849437915
586,8.3,0.999556340243291
595,6.21,0.678368763698383
597,5.54,0.333826779171474
598,6.88,0.974736652898439
600,6.71,0.995566250175073
603,7.84,0.998665601977845
608,4.49,0.191310130295225
609,7.31,0.998066848870213
610,5.89,0.881076184632205
611,5.98,0.61650417648086
612,5.2,0.683153050812367
616,5.07,0.111567512378795
617,5.98,0.921601289506886
618,7.7,0.994170610568933
620,7.32,0.997432848427451
626,5.48,0.794711972726883
628,4.19,0.00583809526760146
629,5.53,0.938822009596821
631,6.04,0.367709365569565
634,6,0.994260720733175
638,6.92,0.921718685545145
639,3.38,0.0198498122394502
647,5.15,0.0100483893331936
651,6.44,0.00749207958641532
653,6.71,0.0214603183401915
654,5.42,0.660046820877561
657,6.33,0.948009333272736
666,4.63,0.171741846024123
667,5.87,0.689513568326349
669,8.82,0.783515745560596
671,5.52,0.938220184249467
679,8.82,0.997483920989348
681,5.32,0.826725524739158
683,5.23,0.750126877854642
692,0.98,0.00273880608571338
693,8.17,0.990634148149263
694,6.43,0.996660845165797
704,6.15,0.0262105578938319
707,5.87,0.0178276742304842
714,6.72,0.65152870144315
715,6.46,0.54220266453891
716,5.46,0.497888761031397
717,8.24,0.987253784000341
719,5.1,0.043796450535021
723,4.5,0.0575282507750613
724,4.81,0.0576628253707233
741,8.19,0.976209187337682
743,6.74,0.959927364679754
801,4.3,0.0275543386883162
811,6.99,0.970237734627128
812,2.55,0.0310171526753537
813,7.93,0.998525132503305
815,7.62,0.999685010527592
817,7.08,0.969690267001466
818,8.32,0.999967666731778
819,3.99,0.087014847487602
822,5.6,0
823,6.87,0.998722202600068
827,6.03,0
828,8.14,0.999997677391828
830,7.74,0.999333048376052
831,7.8,0.999916239024918
834,7.36,0.98262326121108
835,6.73,0
836,8.04,0.999962878546113
838,7.51,0.981073541514236
840,8.09,0.9999963134322
841,5.51,0.965071542305885
842,6.4,0.997895790289633
844,4.81,0
846,6.54,0.98415566270275
848,8.75,0.999509673996253
850,8.03,0.999918756564683
851,6.33,0.984520408908436
853,5.75,0
865,5.57,0.694162996988188
866,5.18,0.51983293801788
869,7.41,0.937302931264137
871,8.57,0.996839018645135
872,7.81,0.919968187754103
874,8.13,0.99759843501882
875,8.53,0.999698544872231
883,8.7,0.999726630075098
887,9.53,0.999999281459895
891,9.88,0.999998638185576
893,9.62,0.999998278656227
896,5.22,0.9088839346989
900,9.24,0.999476964666922
901,7.98,0.999962485849503
902,9.21,0.999671931381686
903,8.82,0.999733282534115
905,9.26,0.999592996708238
920,7.37,0.997227402331014
930,6.63,0.957182524846597
931,5.95,0.944345778564896
935,8.02,0.999834269285767
936,9.21,0.999967004922391
940,8.64,0.997307247291421
941,7.24,0.664919883442826
942,9.11,0.99909417641514
944,8.82,0.994539452553861
954,7.38,0.9681531186956
957,8.27,0.965976778672584
964,7.99,0.996551361662892
971,9.12,0.999999710377816
973,7.73,0.98354291728644
974,8.08,0.99985716616861
975,7.54,0.999501046378546
977,7.13,0.929001407323151
982,8.1,0.598825040617773
984,8,0.996949781860013
994,7.2,0.97597830459823
1002,8,0.999998279340825
1006,7.73,0.969703948789521
1010,6.8,0.481525950987608
1012,5.55,0.212895291190212
1015,7.28,0.999499975753644
1020,7.78,0.998325292388307
1024,7.4,0.860870462168429
1028,8.52,0.998529452105646
1038,5.47,0.858756756288738
1042,6.16,0.246158010418699
1045,8.51,0.999881103902
1058,6.16,0.919201597153691
1059,8.75,0.995702824878657
1060,7.14,0.966136990777566
1062,7.63,0.996139445022843
1068,1.7,0.0302984911117626
1073,6.23,0.0371840366532973
1085,5.04,0.0469500570280182
1091,5.87,0.545400742868559
1123,5.78,0.176213463088808
1133,6.86,0.0207711333176324
1134,6.55,0
1135,3.77,0.021169958972477
1140,6.12,0.595171152845559
1142,6.24,0.985305185737827
1144,7.36,0.999962185701722
1145,7.88,0.999912956349609
1148,6.3,0.641368147905607
1149,8.29,0.997731395310816
1151,5.59,0.563254651823919
1155,8.41,0.994335447294508
1157,8.24,0.999909977805097
1159,6.93,0.930391828264399
1160,9.24,0.999388661089201
1163,7.48,0.976335163741704
1164,5.17,0.9167011870679
1165,4.33,0.876169128323158
1166,7.37,0.981195221668786
1167,7.87,0.999687837001468
1168,7.64,0.954444209902302
1169,6.86,0
1172,5.86,0.975958561319513
1173,8.15,0.999950051945512
1176,7.42,0.981476229032178
1178,5.71,0.987987349698166
1182,1.16,0.0346851548782196
1185,6.93,0.99965591694814
1187,5.9,0.984577112928083
1192,8.28,0.992545542377989
1195,6.84,0.999178379708523
1201,4.59,0.0106329239353865
1205,6.26,0.788840835122803
1208,6.06,0.675850502531639
1209,5.39,0.974518335678636
1211,7.77,0.999701895940592
1212,7.65,0.999532218740019
1213,8.76,0.99522643298951
1218,5.44,0.00261482299524158
1223,5.76,0.26076681482792
1225,6.86,0.97749589783842
1226,8.12,0.988955902589915
1227,8.32,0.999448115732228
1228,8.21,0.99936019024451
1231,8.5,0.995410308960019
1234,5.94,0.980328536382354
1235,7.82,0.999325819291494
1236,7.16,0.996238904171548
1248,7.01,0.999485833436833
1249,8.46,0.972794208189822
1251,8.7,0.975449423838104
1253,8.68,0.997088254677145
1254,8.96,0.990600154252345
1261,7.7,0.935163996967397
1263,7,0.999780665155526
1264,8.79,0.999929027116687
1266,8.7,0.998285873818508
1267,4.15,0.00389127486125637
1270,5.18,0.752951712641113
1272,2.68,0.00941919340625022
1273,1.93,0.000492168918865182
1274,7.11,0.93741346779393
1277,4.27,0.0193844596495575
1583,7.5,0.980953124245124
1591,1.52,0.00098383269190567
1593,8.31,0.999313108272417
1594,7.94,0.962365801930811
1596,9.15,0.999584843191592
1597,8.62,0.99953434090696
1598,8.77,0.985019304107169
1599,7.57,0.986103360988873
1629,8.49,0.999655327997152
1631,7.56,0.999847882418317
1633,8.4,0.999980667135693
1636,3.86,0.005590941678841
1638,5.82,0.557265733913834
1639,8.81,0.999999396742856
1641,8.22,0.999948178020328
1643,5.13,0.4758631110564
1644,6.77,0.934900124991528
1645,6.31,0.947761706140741
1648,4.61,0.139554112747879
1649,6.21,0.971393808929004
1650,7.63,0.998648196100107
1653,6.07,0.178243639930094
1655,7.34,0.453417527450261
1657,6.97,0.984283954557156
1658,6.09,0.747203002048461
1677,7.39,0.99900210704941
1687,7.73,0.992460134512701
1688,7.78,0.997328715634228
1699,6.33,0.957997849262683
1702,8.53,0.99950179806207
1705,6.44,0.234244670281259
1706,4.01,0.422505064425909
1707,7.39,0.998920247256019
1708,7.86,0.999502222590529
1709,7.84,0.999657042309195
1710,6.26,0.0234702932143125
1711,4.04,0.0109903822903877
1714,6.07,0.00575357379501373
1717,5.41,0.274264618353702
1718,2.66,0.000568582302638563
1722,4.91,0.014065483118859
1723,7.15,0.999593704909181
1724,6.06,0.921307258246512
1727,8.31,0.999583117712945
1730,6.44,0.0138879932120223
1737,8.06,0.997799885744443
1758,7.84,0.998050553298725
1760,6.47,0.997411824699368
1805,8.51,0.994979120374047
1808,7.15,0.967171578137067
1809,7.83,0.987625773799819
1810,5.64,0.86609066899919
1811,5.36,0.158426640831783
1814,5.66,0.454889734706492
1819,7.13,0.990476562216604
1826,7.2,0.675664753982154
1833,6.53,0.0288904567907916
1836,6.46,0.377366353649084
1839,4.69,0
1842,5.33,0.00174134874839786
1844,8.36,0.996237332274778
1845,8.45,0.997551523830394
1854,7.16,0.63716645806718
1860,7.63,0.997517220125051
1861,4.47,0.0238725136740554
1862,6.56,0.996161051972329
