"sample_id","bap","probability"
2,5.4,0.00687374797639545
3,8.07,0
4,5.73,0
7,6.96,6.47930277615316e-09
10,4.51,0.00437084835361022
13,8.29,0
19,8.08,0
23,7.89,0
24,7.06,0
25,3.4,0.99701451011577
27,6.8,6.26952544420475e-09
28,7.55,0
30,6.69,7.77572419330024e-08
32,4.39,0.0202282667487584
33,3.05,0.305209271563446
34,5.81,0.00203929333474307
36,6.88,1.78993037164966e-07
38,5.47,0.000966504044258585
39,4.03,0.0119036343930968
42,5.91,1.19921511571564e-06
44,6.43,0.0156843569977722
47,3.95,0.0112528135582151
48,7.98,0
49,7.64,0
53,5.75,0
62,8.48,2.20955992391776e-08
64,7.93,4.46235886331263e-06
70,7.38,1.47458506587258e-07
73,6.74,3.89898787268342e-08
78,7.3,9.11549899712133e-06
80,5.11,0.0122763103637723
81,9.12,0
82,8.22,0
89,7.25,1.97126248662316e-07
90,4.56,0.0246145853241607
106,8.02,2.10890131484649e-06
109,7.14,0
121,7.91,0
122,7.45,7.0279951683163e-09
125,4.72,0.00356345227260695
126,3.85,0.00131917035844278
127,6.25,0.000860699885431987
128,5.82,7.88769306908746e-05
134,5.62,7.51176714920206e-05
135,5.94,5.43107662475072e-06
136,6.54,0
138,6.9,0
139,6.85,3.91277151077233e-06
141,7.6,0
250,4.19,0.013564739057147
252,7.12,7.74901231650146e-07
253,5.93,9.19880628903065e-07
260,6.45,0
261,6.77,1.05457553504739e-06
262,7.28,2.52376264768579e-09
266,7.24,0
270,6.65,2.40827401787171e-06
273,6.75,2.78071889135391e-05
274,8.17,1.56170325207667e-10
277,5.77,7.99343724999879e-06
280,8.33,0
282,5.1,0.000418652889830814
287,7.78,2.90817151684943e-09
290,3.85,0.0535659197336911
293,7.41,1.47088298009796e-08
314,7.7,0
319,6.8,1.26577998829404e-05
323,7.49,4.69045635774742e-10
335,5.3,0
338,6.46,0.000175736472952691
341,7.79,4.45048031913316e-05
346,7.03,0
351,3.33,0.91928594077576
353,5.97,0.83348619430921
355,6.34,0.00124663653860643
359,8.14,9.22516409893878e-08
362,5.87,0.00196722105240485
363,7.68,2.91221145732848e-06
365,9.31,0
366,6.62,2.38477311503721e-05
368,8.68,0
369,7.56,5.25742470787251e-08
378,6.46,0.00106798593760162
379,3.39,0.0297923240590267
380,3.7,0.289907321669055
383,6.99,2.35241608049417e-06
384,7.28,0
385,6.33,0.000316443913186416
387,7.26,1.31684460808157e-08
388,6.98,0
391,5.18,1.97200566875856e-05
393,7.1,1.04035564855083e-05
397,8.47,0
402,6.01,0
404,7.09,0
407,3.71,0.605759119651987
411,4.94,0.0349288022749945
412,7.93,0
416,8.66,0
419,6.44,5.82044158287759e-06
422,6.34,0.00277420847480531
425,5.32,0.00484283040453345
427,8.01,0
428,8.09,0
429,6.52,0.00171480642214045
434,8.32,1.67925782030147e-08
438,4.45,0.0689843644004166
441,7.72,1.07738584397954e-05
442,8.74,0
444,2.93,0.994599574373427
445,4.24,0.00367111903801024
446,8.05,0
447,2.95,0.898424420492773
448,5.31,0.0183367495357703
452,7.21,0
455,7.82,5.741919898814e-07
458,7.82,0
459,6.04,0
460,8.6,7.11036838109355e-09
470,7.89,0.000785863749036504
474,7.93,0
475,8.35,8.87208811695329e-10
477,8.1,0
483,8.35,0
489,5.44,0
490,8.98,0
493,7.7,5.69627093655775e-08
496,6,0
500,9.27,0
