"WAVE","Pfam","Pfamo"
"Pbap",0.861198738170347,0.138801261829653
"Aeshnidae",0.0390720390720391,0.0227272727272727
"Amphipoda",0.164835164835165,0.5
"Ancylidae",0.0866910866910867,0.0454545454545455
"Asellidae",0.0842490842490843,0.5
"Athericidae",0.263736263736264,0.0681818181818182
"Baetidae",0.874236874236874,0.416666666666667
"Baetiscidae",0.00854700854700855,0
"Bithyniidae",0.00488400488400488,0
"Brachycentridae",0.142857142857143,0
"Caenidae",0.230769230769231,0.0454545454545455
"Calopterygidae",0.0244200244200244,0.0454545454545455
"Cambaridae",0.0647130647130647,0.121212121212121
"Capniidae",0.0317460317460317,0
"Chironomidae",0.99023199023199,0.946969696969697
"Chironomus",0.0134310134310134,0.0833333333333333
"Chloroperlidae",0.0561660561660562,0
"Coenagrionidae",0.0378510378510378,0.136363636363636
"Cordulegastridae",0.0122100122100122,0.00757575757575758
"Corixidae",0.00244200244200244,0.0454545454545455
"Corydalidae",0.301587301587302,0.0984848484848485
"Curculionidae",0.00244200244200244,0
"Dixidae",0.00244200244200244,0.00757575757575758
"Dryopidae",0.00244200244200244,0
"Dytiscidae",0.0122100122100122,0.0227272727272727
"Elmidae",0.901098901098901,0.689393939393939
"Empididae",0.344322344322344,0.196969696969697
"Ephemerellidae",0.373626373626374,0.0227272727272727
"Ephemeridae",0.032967032967033,0
"Glossosomatidae",0.113553113553114,0
"Goeridae",0.010989010989011,0.00757575757575758
"Gomphidae",0.152625152625153,0.0378787878787879
"Gyrinidae",0.0183150183150183,0.00757575757575758
"Haliplidae",0.00122100122100122,0.0227272727272727
"Helicopsychidae",0.0732600732600733,0
"Heptageniidae",0.797313797313797,0.136363636363636
"Hirudinea",0.0231990231990232,0.212121212121212
"Hydrophilidae",0.0195360195360195,0.0227272727272727
"Hydropsychidae",0.95970695970696,0.696969696969697
"Hydroptilidae",0.170940170940171,0.0984848484848485
"Isonychiidae",0.454212454212454,0.00757575757575758
"Lepidostomatidae",0.061050061050061,0.00757575757575758
"Leptoceridae",0.0586080586080586,0.0378787878787879
"Leptohyphidae",0.117216117216117,0.0378787878787879
"Leptophlebiidae",0.163614163614164,0.0151515151515152
"Leuctridae",0.130647130647131,0.0303030303030303
"Limnephilidae",0.0402930402930403,0.0151515151515152
"Lymnaeidae",0.0195360195360195,0.0606060606060606
"Nemouridae",0.0170940170940171,0
"Odontoceridae",0.0525030525030525,0
"OLIGOCHAETA",0.426129426129426,0.590909090909091
"OSTRACODA",0.00366300366300366,0
"Pelecypoda",0.197802197802198,0.287878787878788
"Peltoperlidae",0.0341880341880342,0
"Perlidae",0.52014652014652,0.0378787878787879
"Perlodidae",0.0317460317460317,0.00757575757575758
"Philopotamidae",0.677655677655678,0.143939393939394
"Phryganeidae",0.00732600732600733,0.0151515151515152
"Physidae",0.0476190476190476,0.21969696969697
"Polycentropodidae",0.102564102564103,0.00757575757575758
"Polymitarcyidae",0.0256410256410256,0
"Potamanthidae",0.0183150183150183,0
"Psephenidae",0.518925518925519,0.159090909090909
"Psychomyiidae",0.0683760683760684,0
"Pteronarcidae",0.0463980463980464,0
"Ptilodactylidae",0.00732600732600733,0
"Rhyacophilidae",0.228327228327228,0.0378787878787879
"Sialidae",0.0500610500610501,0.0454545454545455
"Simuliidae",0.416361416361416,0.401515151515151
"Tabanidae",0.0317460317460317,0.0833333333333333
"Tipulidae",0.611721611721612,0.25
"Turbellaria",0.228327228327228,0.446969696969697
"Uenoidae",0.0207570207570208,0.00757575757575758
"Valvatidae",0.00122100122100122,0.0227272727272727
