OBJECTID,Shape,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,PK1_25,PK1_5,PK2,PK5,PK10,PK25,PK50,PK100,PK200,PK500,URBNLCD2001,BFAREA,BFDPTH,BFFLOW,BFWDTH,ExcludeCode,CSL10_85,LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,WEIGHTED,Shape_Length,Shape_Area
1,,2,2,BLND_6.8,StreamStats Batch,1,,01100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54218717,,,,,,,,24760,14352800
2,,4,4,BLND_8.2,StreamStats Batch,1,,01100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.095310339,,,,,,,,17120,5426300
3,,6,6,BLOK_0.3,StreamStats Batch,1,,02020006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.958076258,,,,,,,,16000,5070900
4,,8,8,BLOW_0.4,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06685738,,,,,,,,47060,26070500
5,,10,10,BLOW_4.6,StreamStats Batch,1,,04130003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.321519319,,,,,,,,30680,18960800
6,,12,12,BMAN_0.3,StreamStats Batch,1,,04120104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.09114008,,,,,,,,50120,41671800
7,,14,14,BNUT_20.6,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.74505957,,,,,,,,70140,66672900
8,,16,16,BNUT_T25_1.4,StreamStats Batch,1,,04140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310147479,,,,,,,,5080,803200
9,,18,18,BOAR_0.8,StreamStats Batch,1,,04150308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12790608,,,,,,,,38100,26228600
10,,20,20,BODN_0.2,StreamStats Batch,1,,02030200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.009623172,,,,,,,,21420,12973600
